x,y,z,v_x,v_y,v_z,|U|,rho,pressure
-0.848223, -0.357055, 0.0305424, -0.318398, -0.662904, -0.0332807, 0.736157, 999.355, -1032.43
-0.85179, -0.360349, 0.0364075, -0.497423, -0.500696, -0.150876, 0.721727, 1001.18, 1884.54
-0.858389, -0.361586, 0.055821, -0.534952, -0.909788, -0.175475, 1.0699, 999.063, -1498.6
-0.859017, -0.340697, 0.081124, -1.26105, -1.16916, 0.13901, 1.72526, 999.727, -436.497
-0.844088, -0.323117, 0.090067, -1.77753, -0.442219, -1.06338, 2.118, 999.021, -1566.57
-0.803372, -0.307731, 0.110536, -1.51807, -1.20912, -0.768487, 2.08736, 1001.87, 2986.94
-0.781794, -0.294809, 0.135835, -1.02669, -1.26665, -1.29846, 2.08434, 999.609, -625.895
-0.763699, -0.274379, 0.173208, -0.652837, -0.79747, -1.60506, 1.90745, 1000.09, 143.318
-0.754152, -0.26287, 0.217638, -0.362107, -0.510561, -1.89683, 1.99744, 999.897, -165.239
-0.749491, -0.256401, 0.263948, -0.172346, -0.319558, -2.00541, 2.03802, 1001.02, 1631.99
-0.746879, -0.252636, 0.313426, -0.0600521, -0.190594, -2.07731, 2.0869, 1000.3, 475.592
-0.74598, -0.250728, 0.362288, -0.0103595, -0.126461, -2.12293, 2.12672, 1000.33, 530.1
-0.745726, -0.249704, 0.41244, 0.0326703, -0.0730814, -2.13699, 2.13849, 1000.02, 26.1474
-0.745805, -0.249074, 0.461964, 0.0589687, -0.0480454, -2.15836, 2.1597, 1000.11, 169.729
-0.746319, -0.248933, 0.512217, 0.0675952, -0.0239975, -2.15623, 2.15742, 1000.05, 80.7402
-0.746675, -0.248771, 0.561912, 0.0689137, -0.0108732, -2.16918, 2.1703, 1000.05, 79.7888
-0.747386, -0.248957, 0.612187, 0.0532652, -0.000377878, -2.1614, 2.16206, 1000.06, 92.4583
-0.74778, -0.249003, 0.661923, 0.0442589, 0.00567597, -2.17011, 2.17056, 1000.01, 14.9652
-0.74856, -0.249347, 0.712237, 0.0273445, 0.00791557, -2.16265, 2.16284, 1000.04, 57.7471
-0.749036, -0.249539, 0.761919, 0.0183805, 0.00785657, -2.16952, 2.16961, 1000.01, 18.8022
-0.749559, -0.249714, 0.812111, 0.0121539, 0.0107498, -2.16971, 2.16977, 1000, 4.15628
-0.924879, -0.229214, 0.0319251, -0.748152, -0.52921, 0.0221969, 0.916672, 1001.36, 2168.37
-0.935383, -0.225053, 0.0390988, -1.20682, -0.241678, 0.0216585, 1.23097, 1000.12, 190.71
-0.939356, -0.23174, 0.0532551, -1.53847, -0.2402, -0.127277, 1.5623, 999.754, -393.468
-0.92242, -0.239812, 0.0754994, -2.01254, -0.451479, -0.366837, 2.09493, 999.845, -248.293
-0.889865, -0.234893, 0.0918368, -1.88816, -0.766903, -0.567662, 2.11554, 999.975, -40.3733
-0.849396, -0.225872, 0.113394, -1.73693, -0.680671, -0.873157, 2.05977, 999.754, -392.821
-0.821621, -0.21749, 0.141688, -1.48848, -0.557242, -1.27584, 2.03811, 1000.6, 955.52
-0.796379, -0.209842, 0.177186, -1.1453, -0.369063, -1.64217, 2.03584, 1000.29, 460.253
-0.77948, -0.205091, 0.220819, -0.786854, -0.223532, -1.88698, 2.05664, 999.55, -719.278
-0.769054, -0.202321, 0.265784, -0.545453, -0.152644, -2.01779, 2.09578, 1000.64, 1030.57
-0.761795, -0.200806, 0.314877, -0.326633, -0.103883, -2.06063, 2.08895, 1000.72, 1146.66
-0.757809, -0.19971, 0.363161, -0.233809, -0.0685385, -2.11015, 2.12417, 1000.71, 1128.25
-0.755097, -0.199396, 0.413137, -0.15388, -0.0390627, -2.11452, 2.12047, 1000.47, 759.612
-0.753313, -0.198911, 0.462432, -0.128667, -0.0190708, -2.14877, 2.15271, 999.945, -88.3515
-0.75227, -0.199052, 0.512555, -0.0839527, -0.00943378, -2.1436, 2.14526, 999.91, -144.75
-0.751363, -0.198829, 0.562153, -0.0727049, 0.00133018, -2.16228, 2.16351, 999.698, -483.787
-0.750985, -0.199161, 0.612327, -0.0442581, -0.00101568, -2.15055, 2.151, 999.832, -269.221
-0.7505, -0.199068, 0.662017, -0.0354539, 0.00957144, -2.16423, 2.16454, 999.752, -396.829
-0.750464, -0.1995, 0.71219, -0.0204212, 0.00314679, -2.15307, 2.15317, 999.922, -125.325
-0.750222, -0.199513, 0.761645, -0.0136298, 0.0116827, -2.1741, 2.17418, 999.828, -275.053
-0.750182, -0.200025, 0.811649, 0.0177592, 0.00352176, -2.16686, 2.16693, 999.997, -4.72897
-0.941641, -0.17411, 0.0337916, -1.02284, -0.248355, 0.0125281, 1.05263, 998.736, -2021.94
-0.946366, -0.18487, 0.0400087, -1.13047, -0.260433, -0.11378, 1.16565, 1000.23, 361.581
-0.953673, -0.192157, 0.0582948, -1.76356, -0.418998, -0.291771, 1.83598, 1000.29, 456.499
-0.934699, -0.193802, 0.0798864, -2.10869, -0.553751, -0.398075, 2.21623, 1000.18, 283.958
-0.903611, -0.183888, 0.0955361, -2.07232, -0.416672, -0.405847, 2.1524, 1000.34, 539.415
-0.864942, -0.175493, 0.118106, -1.80319, -0.506964, -0.774387, 2.02686, 1000.88, 1410.27
-0.837223, -0.168623, 0.145947, -1.68816, -0.434763, -1.1796, 2.10484, 1000.31, 497.209
-0.809118, -0.161641, 0.180407, -1.29408, -0.286736, -1.56556, 2.0513, 999.96, -63.6229
-0.790155, -0.157529, 0.223161, -0.972579, -0.195783, -1.818, 2.07108, 999.151, -1358.24
-0.777226, -0.154685, 0.267145, -0.751694, -0.118294, -2.01992, 2.1585, 998.777, -1957.11
-0.76761, -0.153, 0.315788, -0.470378, -0.0885797, -2.04408, 2.09937, 999.432, -908.867
-0.761855, -0.151862, 0.363771, -0.36193, -0.0711092, -2.09951, 2.13166, 999.987, -20.9964
-0.758078, -0.151211, 0.413497, -0.224148, -0.0611251, -2.08871, 2.10159, 1000.42, 664.808
-0.755345, -0.15071, 0.46262, -0.180239, -0.038513, -2.13382, 2.14177, 1000.21, 342.042
-0.75387, -0.150446, 0.512661, -0.105093, -0.0276044, -2.12877, 2.13154, 1000.37, 596.759
-0.752483, -0.150257, 0.562143, -0.0887583, -0.0159225, -2.15748, 2.15937, 1000.08, 130.806
-0.751911, -0.150163, 0.612339, -0.0497649, -0.00874902, -2.14554, 2.14614, 1000.13, 213.992
-0.751119, -0.150095, 0.661923, -0.0457006, -0.00577465, -2.16379, 2.16428, 1000.01, 13.7314
-0.750935, -0.150097, 0.712183, -0.0245927, -0.00289248, -2.15278, 2.15292, 1000.03, 49.629
-0.750497, -0.15009, 0.761674, -0.021281, -0.00210371, -2.16669, 2.1668, 1000, 0.0490921
-0.750227, -0.15011, 0.811687, 0.0194219, -7.03172e-05, -2.16455, 2.16464, 1000.01, 21.0439
-0.954566, -0.115742, 0.0343906, -1.05982, -0.0469119, 0.0321732, 1.06135, 1000.23, 362.859
-0.96028, -0.109586, 0.0391216, -1.17848, 0.391773, -0.0931867, 1.24539, 1006.61, 10572.8
-0.976872, -0.111517, 0.0559645, -2.37825, 0.119439, -0.0733384, 2.38237, 1002.67, 4275.5
-0.957017, -0.111875, 0.0838129, -2.07997, -0.00347981, -0.324232, 2.10509, 999.22, -1247.26
-0.922324, -0.113746, 0.10122, -2.12426, -0.399202, -0.360307, 2.19127, 999.141, -1374.56
-0.884563, -0.111249, 0.124518, -2.11099, -0.276253, -0.701307, 2.24152, 1000.07, 112.012
-0.854543, -0.107907, 0.150612, -1.87656, -0.242816, -1.09883, 2.18812, 999.728, -434.82
-0.823415, -0.105329, 0.184481, -1.49952, -0.19673, -1.47314, 2.11125, 1000.2, 324.611
-0.80223, -0.103296, 0.225709, -1.19, -0.132163, -1.68934, 2.07061, 1000.44, 706.572
-0.786437, -0.102185, 0.268791, -0.936893, -0.0948419, -1.9639, 2.178, 999.504, -794.036
-0.774532, -0.101253, 0.316809, -0.618203, -0.0408884, -1.99003, 2.08424, 1000.1, 166.849
-0.766877, -0.100798, 0.364566, -0.499907, -0.0381119, -2.09042, 2.1497, 1000.36, 569.339
-0.761849, -0.100532, 0.413923, -0.318249, -0.0152444, -2.07572, 2.10003, 1000.35, 562.302
-0.757938, -0.100298, 0.463065, -0.271539, -0.0154698, -2.12083, 2.1382, 1000, 1.04606
-0.755816, -0.100248, 0.512896, -0.182621, -0.00709268, -2.1253, 2.13314, 1000.02, 30.7669
-0.753713, -0.100112, 0.562385, -0.154189, -0.00640115, -2.14814, 2.15368, 999.682, -508.554
-0.752792, -0.100131, 0.612473, -0.0979381, -0.00450892, -2.14104, 2.14329, 999.871, -206.705
-0.751609, -0.100057, 0.662068, -0.0786737, -0.00319891, -2.15999, 2.16142, 999.75, -399.791
-0.751262, -0.100103, 0.7122, -0.0428506, -0.00310875, -2.14813, 2.14856, 999.918, -131.235
-0.750651, -0.100078, 0.761639, -0.0301352, -0.00205404, -2.17105, 2.17126, 999.808, -307.237
-0.750671, -0.100111, 0.811448, 0.022396, -0.000636778, -2.16611, 2.16623, 999.99, -15.4681
-0.959869, -0.0526606, 0.0387784, -0.664326, 0.0324227, -0.264621, 0.715824, 1001, 1592.97
-0.964041, -0.0597273, 0.0461908, -0.870096, -0.670821, -0.358664, 1.15573, 979.587, -32661.4
-0.981124, -0.0608056, 0.0642997, -2.69122, -0.231674, -0.149717, 2.70532, 1010.53, 16840.4
-0.965338, -0.0626737, 0.0843525, -2.32092, -0.0750159, -0.618693, 2.40314, 1004.26, 6816.59
-0.926552, -0.0605314, 0.103349, -2.29492, -0.136364, -0.363469, 2.32752, 997.834, -3464.82
-0.891676, -0.0592864, 0.126784, -2.19557, -0.200137, -0.605348, 2.28627, 997.96, -3264.73
-0.859348, -0.0560553, 0.153469, -1.97651, -0.141655, -1.05142, 2.24324, 999.548, -723.736
