x,y,z,v_x,v_y,v_z,|U|,rho,pressure
0.0575313, 0.0749525, 3.36161, 0.0167569, 0.00135289, -3.32235, 3.3224, 1000, 1e-20
0.01309, 0.0749538, 3.38724, 0.0135749, 0.00211099, -3.32787, 3.3279, 1000, 1e-20
-0.0374279, 0.0749534, 3.37831, 0.014684, 0.00188733, -3.33414, 3.33418, 1000, 1e-20
-0.0703859, 0.0749514, 3.33899, 0.0195652, 0.000786546, -3.33824, 3.33829, 1000, 1e-20
-0.0703634, 0.0749488, 3.28769, 0.0259348, -0.000676313, -3.33823, 3.33833, 1000, 1e-20
-0.037371, 0.0749468, 3.24841, 0.0308124, -0.0018168, -3.33414, 3.33428, 1000, 1e-20
0.0131547, 0.0749462, 3.23952, 0.031916, -0.0021013, -3.32786, 3.32802, 1000, 1e-20
0.0575735, 0.0749475, 3.26518, 0.0287291, -0.0013967, -3.32235, 3.32247, 1000, 1e-20
0.000102618, 0.12495, 3.31337, 0.0227772, 1.26111e-05, -3.33091, 3.33099, 1000, 1e-20
0.0251026, 0.12495, 3.31338, 0.0227756, -2.37452e-06, -3.32781, 3.32788, 1000, 1e-20
-0.0124075, 0.124951, 3.33501, 0.0200898, 0.000637492, -3.33246, 3.33252, 1000, 1e-20
-0.0123886, 0.124949, 3.29171, 0.025466, -0.000597217, -3.33246, 3.33256, 1000, 1e-20
0.0751026, 0.12495, 3.31341, 0.0227723, -3.23457e-05, -3.3216, 3.32168, 1000, 1e-20
0.0575314, 0.124952, 3.36161, 0.016788, 0.00135282, -3.32378, 3.32382, 1000, 1e-20
0.0130901, 0.124954, 3.38724, 0.013606, 0.00211092, -3.3293, 3.32933, 1000, 1e-20
-0.0374278, 0.124953, 3.3783, 0.014715, 0.00188725, -3.33557, 3.3356, 1000, 1e-20
-0.0703858, 0.124951, 3.33899, 0.0195963, 0.000786473, -3.33966, 3.33972, 1000, 1e-20
-0.0703634, 0.124949, 3.28769, 0.0259658, -0.000676387, -3.33966, 3.33976, 1000, 1e-20
-0.0373709, 0.124947, 3.2484, 0.0308435, -0.00181687, -3.33556, 3.33571, 1000, 1e-20
0.0131548, 0.124946, 3.23951, 0.031947, -0.00210137, -3.32929, 3.32944, 1000, 1e-20
0.0575736, 0.124948, 3.26518, 0.0287602, -0.00139677, -3.32377, 3.3239, 1000, 1e-20
