2.6581952591992475e-03,9.6235679214402636e-01
1.0095992938450507e-01,9.7217675941080206e-01
2.0316850254693894e-01,1.0016366612111292e+00
3.0535133047683843e-01,1.0507364975450075e+00
4.2717133452251765e-01,1.1194762684124382e+00
6.1973923757332772e-01,1.2176759410801961e+00
8.0822008495926723e-01,1.4337152209492632e+00
9.6917284245756607e-01,1.6497545008183303e+00
1.1418847349160517e+00,1.8952536824877246e+00
1.2949851964912924e+00,2.1014729950900164e+00
1.4520182423361954e+00,2.3076923076923075e+00
1.6247172621784141e+00,2.5630114566284772e+00
1.7621002592912698e+00,2.7594108019639929e+00
1.9269598558266969e+00,2.9950900163666114e+00
2.0721694036300775e+00,3.2209492635024541e+00
2.2409873296677016e+00,3.4369885433715219e+00
2.4019014693171989e+00,3.6824877250409163e+00
2.5431913054671833e+00,3.8985270049099832e+00
2.7159418157744710e+00,4.1145662847790501e+00
2.8690422773497120e+00,4.3207855973813416e+00
3.0378473307710694e+00,4.5466448445171839e+00
3.2066266389598925e+00,4.7921440261865778e+00
3.2851624708067448e+00,4.8805237315875614e+00
