x,y,z,v_x,v_y,v_z,|U|,rho,pressure
-0.500036, -0.175906, 0.650082, 0.000671174, 0.00176638, -0.0197729, 0.019863, 1000.46, 8871.79
-0.500246, -0.175903, 0.701461, 0.000313456, 0.00160798, -0.0220079, 0.0220688, 1000.04, 8329.21
-0.500589, -0.175545, 0.753235, -0.0014297, -0.00184898, -0.023435, 0.0235512, 1000.49, 7867.76
-0.500927, -0.175355, 0.805144, -0.00250713, -0.0066535, -0.0206794, 0.0218676, 999.582, 7267.61
-0.501665, -0.174588, 0.857969, -0.0115562, -0.0261872, -0.00145869, 0.0286608, 1000.9, 6941.67
-0.502635, -0.175029, 0.911503, -0.00188691, -0.0446443, 0.0109938, 0.0460168, 1000.03, 6289.11
-0.504366, -0.177339, 0.964393, -0.00875931, -0.0616061, 0.0693516, 0.0931755, 1001.05, 5889.04
-0.5109, -0.154003, 1.02719, 0.0126251, -0.0929433, 0.166005, 0.190671, 997.406, 4836.39
-0.442748, -0.176386, 1.03467, -0.0692154, -0.118529, 0.147913, 0.201788, 997.757, 4828.68
-0.49852, -0.121934, 0.050333, 0.00340811, 0.00540588, -0.000802277, 0.00644068, 1001.9, 15006.5
-0.498829, -0.126044, 0.0997392, 0.00251438, -0.00763687, -0.00445258, 0.00919073, 999.46, 14106.7
-0.498943, -0.12553, 0.148759, 0.00245266, -0.000854608, -0.00752977, 0.00796514, 1001.37, 13817
-0.49899, -0.125402, 0.198098, 0.00209709, -0.000617178, -0.00998096, 0.0102175, 1000.6, 13269.2
-0.4991, -0.125469, 0.247509, 0.00185053, -0.000425882, -0.0125329, 0.0126759, 1000.86, 12815.5
-0.499186, -0.125394, 0.297083, 0.00159279, 8.85757e-05, -0.0147884, 0.0148742, 1000.74, 12325.3
-0.499301, -0.125463, 0.346807, 0.00127424, 0.000541318, -0.0164413, 0.0164995, 1000.78, 11850.5
-0.499419, -0.12545, 0.396696, 0.00109744, 0.00070755, -0.0181329, 0.0181798, 1000.74, 11364.8
-0.499553, -0.125556, 0.446777, 0.000805851, 0.000822979, -0.0194006, 0.0194348, 1000.73, 10881
-0.499709, -0.125614, 0.497049, 0.000659071, 0.00111759, -0.0200958, 0.0201376, 1000.73, 10393.3
-0.499871, -0.125761, 0.547553, 0.000508268, 0.00130763, -0.0209949, 0.0210417, 1000.73, 9900.59
-0.500078, -0.125814, 0.598301, 0.000839971, 0.00185007, -0.0220386, 0.022132, 1000.61, 9393.82
-0.500291, -0.125818, 0.649366, 0.000410062, 0.00252405, -0.0206287, 0.0207866, 1000.8, 8924.32
-0.500553, -0.125735, 0.700753, 0.000515641, 0.00205651, -0.0208083, 0.0209161, 1000.5, 8388.47
-0.500835, -0.125229, 0.752657, -0.00123104, -0.00208081, -0.0179414, 0.0181036, 1000.93, 7922.54
-0.501251, -0.12486, 0.804999, 9.92927e-05, -0.00899973, -0.01436, 0.0169474, 999.849, 7287.84
-0.501953, -0.124128, 0.85873, -0.0117396, -0.0253002, 0.00612355, 0.0285555, 1001.29, 6964.99
-0.503729, -0.122973, 0.914247, 0.00209048, -0.0592019, 0.0296162, 0.0662295, 1000.57, 6283.31
-0.503561, -0.125096, 0.972332, -0.0285949, -0.076492, 0.0631581, 0.103236, 1000.7, 5705.41
-0.510147, -0.114035, 1.03642, -0.00396093, -0.112083, 0.163677, 0.198414, 998.321, 4765.91
-0.433601, -0.135912, 1.03681, -0.0500336, -0.0976244, 0.1384, 0.176602, 1003.18, 5257
-0.498147, -0.0728241, 0.0503258, 0.00538259, 0.00389922, -0.00140003, 0.00679237, 1002.03, 15023.5
-0.498899, -0.0757816, 0.0996577, 0.00280979, -0.00599578, -0.00681114, 0.00949926, 999.29, 14087.8
-0.498992, -0.0754133, 0.148487, 0.00315769, -0.00085542, -0.0119808, 0.0124194, 1001.44, 13824.7
-0.499077, -0.0753218, 0.197764, 0.00249025, -0.000425679, -0.0150874, 0.0152975, 1000.59, 13271.5
-0.499206, -0.0753675, 0.247152, 0.00219345, -0.000232752, -0.0183334, 0.0184656, 1000.8, 12812.3
-0.499294, -0.0753143, 0.296727, 0.00175478, 0.000249311, -0.0205744, 0.0206506, 1000.7, 12323.8
-0.499425, -0.0753617, 0.346468, 0.00149524, 0.000735825, -0.0219505, 0.0220137, 1000.67, 11841.8
-0.499539, -0.0753489, 0.396396, 0.0011119, 0.000702243, -0.0238571, 0.0238933, 1000.59, 11350.3
-0.499687, -0.0754254, 0.446521, 0.000698841, 0.000989474, -0.0235922, 0.0236233, 1000.56, 10864.2
-0.499829, -0.0754565, 0.496851, 0.00038103, 0.00132919, -0.0242537, 0.0242931, 1000.49, 10367
-0.500008, -0.0755632, 0.547421, 7.3396e-05, 0.00147773, -0.0236245, 0.0236708, 1000.41, 9864.16
-0.500179, -0.0755699, 0.598251, -8.00533e-05, 0.00146256, -0.0235524, 0.0235979, 1000.28, 9356.6
-0.5004, -0.0755566, 0.64943, -0.000758898, 0.00232334, -0.019402, 0.0195554, 1000.48, 8884.4
-0.500595, -0.0754492, 0.700989, -0.000909346, 0.00195738, -0.0202642, 0.0203788, 1000.02, 8325.94
-0.50084, -0.0750181, 0.753161, -0.00362412, -0.00157115, -0.0139404, 0.0144892, 1000.62, 7876.08
-0.501125, -0.0747025, 0.805936, -0.0038659, -0.00887004, -0.0132467, 0.0164042, 999.722, 7257.28
-0.501693, -0.0739234, 0.859963, -0.0193917, -0.0202978, 0.00729362, 0.029004, 1000.97, 6916.33
-0.502593, -0.0729959, 0.916022, -0.0118278, -0.0478893, 0.0264643, 0.0559789, 1000.25, 6259.35
-0.502378, -0.0753168, 0.97508, -0.0468921, -0.062076, 0.0498398, 0.0923921, 1002.94, 5901.29
-0.5129, -0.0703122, 1.04203, -0.0244185, -0.0691582, 0.148949, 0.166027, 998.095, 4667.45
-0.432026, -0.0721122, 1.03992, -0.0953083, -0.11086, 0.0777604, 0.165591, 1007.56, 5546.77
-0.497751, -0.0241953, 0.0502611, 0.00750052, 0.00142665, -0.00258357, 0.00806027, 1001.96, 15013.7
-0.498988, -0.0252977, 0.0995152, 0.00267075, -0.00236285, -0.00977337, 0.0104036, 999.18, 14073.3
-0.49903, -0.0251581, 0.148241, 0.00370391, -0.000355488, -0.0165418, 0.0169551, 1001.48, 13827.9
-0.49914, -0.025126, 0.19748, 0.00274324, -0.000149956, -0.020258, 0.0204435, 1000.6, 13274.2
-0.499285, -0.0251437, 0.246839, 0.00236714, -6.92362e-05, -0.0240789, 0.0241951, 1000.82, 12816.9
-0.499381, -0.0251255, 0.2964, 0.00178825, 0.000126762, -0.0262526, 0.0263138, 1000.76, 12334.8
-0.499531, -0.0251444, 0.346133, 0.00161748, 0.000331398, -0.0276035, 0.0276529, 1000.73, 11851.4
-0.499657, -0.0251421, 0.396071, 0.00103118, 0.000277355, -0.0296307, 0.0296499, 1000.67, 11362.7
-0.499827, -0.0251741, 0.446206, 0.000590976, 0.000421578, -0.0281915, 0.0282008, 1000.68, 10882.5
-0.499986, -0.0251891, 0.496556, 0.000276411, 0.000631357, -0.0286222, 0.0286305, 1000.64, 10386.5
-0.500194, -0.0252363, 0.547152, 5.80494e-06, 0.000728635, -0.0269976, 0.0270074, 1000.52, 9878.17
-0.500379, -0.0252419, 0.598031, -0.000501324, 0.000634933, -0.025267, 0.02528, 1000.49, 9383.63
-0.500621, -0.0252438, 0.649278, -0.000882027, 0.00121857, -0.0183958, 0.0184572, 1000.7, 8913.3
-0.500822, -0.0252019, 0.700975, -0.000596545, 0.00114877, -0.0188285, 0.0188729, 1000.21, 8343.35
-0.501024, -0.0250371, 0.753354, -0.0028788, 0.000402609, -0.00958159, 0.0100128, 1000.78, 7887
-0.501284, -0.0249057, 0.806491, -0.00319725, -0.002654, -0.00995191, 0.0107846, 999.893, 7263.81
-0.501728, -0.0245385, 0.861063, -0.0168065, -0.0054982, 0.0120167, 0.0213797, 1001.02, 6909.51
-0.502893, -0.0244662, 0.918081, -0.0158129, -0.0175573, 0.0287301, 0.0371985, 1000.46, 6290.2
-0.502065, -0.0249662, 0.977594, -0.0391523, -0.0230131, 0.0383369, 0.0594325, 1002.91, 5877.45
-0.512176, -0.022988, 1.04449, -0.0275899, -0.0321692, 0.132562, 0.139172, 998.366, 4652.4
-0.433928, -0.024607, 1.04552, -0.150395, -0.0251311, 0.0273017, 0.154906, 999.689, 4747.93
