x,y,z,v_x,v_y,v_z,|U|,rho,pressure
0.000961873, -0.125016, 1.09872, 0.0551353, 0.000163883, -0.769271, 0.771244, 1343.04, 2943.45
0.0259052, -0.125038, 1.09704, 0.0544007, -0.000131566, -0.780156, 0.782051, 1189.33, 2943.45
-0.0100513, -0.125009, 1.12117, 0.0649297, 0.000299162, -0.764465, 0.767217, 1189.37, 2943.45
-0.0129695, -0.125001, 1.07796, 0.0460764, 0.000324068, -0.763191, 0.764581, 1189.5, 4438.36
0.0757918, -0.125082, 1.09367, 0.0529317, -0.000722465, -0.801927, 0.803672, 681.322, 2943.45
0.0615304, -0.125076, 1.14295, 0.0744374, -0.000542786, -0.795703, 0.799178, 650.271, 2943.45
0.0189299, -0.125042, 1.17154, 0.0869119, -3.24681e-05, -0.777112, 0.781957, 650.572, 1256.62
-0.0320776, -0.124996, 1.16605, 0.0845186, 0.00056972, -0.754853, 0.75957, 697.777, 1362.26
-0.0676264, -0.124959, 1.12906, 0.0683773, 0.000982023, -0.739339, 0.742495, 650.271, 1679.6
-0.0710838, -0.124949, 1.07788, 0.0460403, 0.00101153, -0.73783, 0.739266, 650.668, 3678.39
-0.0408321, -0.12497, 1.03645, 0.0279586, 0.000644438, -0.751032, 0.751553, 823.958, 4163.18
0.00897427, -0.125013, 1.02415, 0.0225925, 5.25001e-05, -0.772768, 0.773098, 897.388, 4902.47
0.0550318, -0.125057, 1.04675, 0.0324527, -0.000487323, -0.792867, 0.793531, 712.382, 3916.47
0.00100631, -0.0750159, 1.09873, 0.0557297, 0.000163359, -0.769302, 0.771317, 1591.9, 2943.45
0.0259496, -0.0750379, 1.09705, 0.0549952, -0.00013209, -0.780187, 0.782123, 1406.36, 2943.45
-0.0100068, -0.0750092, 1.12117, 0.0655242, 0.000298638, -0.764495, 0.767298, 1410.37, 2143.5
-0.012925, -0.0750007, 1.07797, 0.0466708, 0.000323544, -0.763222, 0.764648, 1408.92, 3334.65
0.0758362, -0.0750818, 1.09368, 0.0535262, -0.000722989, -0.801957, 0.803742, 806.543, 2943.45
0.0615748, -0.0750758, 1.14296, 0.0750318, -0.000543311, -0.795734, 0.799264, 799.986, 3559.89
0.0189743, -0.0750418, 1.17154, 0.0875064, -3.29923e-05, -0.777143, 0.782054, 861.724, 2656.68
-0.0320331, -0.0749957, 1.16606, 0.0851131, 0.000569196, -0.754883, 0.759666, 1056.63, 1389.57
-0.0675819, -0.0749591, 1.12907, 0.0689718, 0.000981499, -0.73937, 0.74258, 783.07, 1694.08
-0.0710393, -0.0749491, 1.07789, 0.0466347, 0.00101101, -0.737861, 0.739334, 772.641, 3549.11
