Time,x,y,z,q0,q1,q2,q3,Vx,Vy,Vz,Fx,Fy,Fz,Tx,Ty,Tz
0.0135,9.0847e-08,-0.00151664,2.5,1,8.74704e-05,3.29389e-07,1.13667e-06,1.21178e-05,-0.246475,-0.000295334,0,0,-3.68652,1.19216e-12,4.92151e-08,0
0.014,9.65289e-08,-0.00164252,2.5,1,0.00011388,4.28301e-07,-2.95611e-06,1.05777e-05,-0.25703,-0.000313218,0,0,-3.68681,1.98891e-12,4.9219e-08,0
0.0145,1.01399e-07,-0.00177367,2.5,1,0.000139951,5.30111e-07,-7.44457e-06,8.8844e-06,-0.267555,-0.000330936,0,0,-3.68703,2.81958e-12,4.9222e-08,0
0.015,1.054e-07,-0.00191007,2.5,1,0.000165005,6.3442e-07,-1.22767e-05,7.09738e-06,-0.278055,-0.000348281,0,0,-3.6872,3.66899e-12,4.92242e-08,0
0.0155,1.08471e-07,-0.00205172,2.5,1,0.000188521,7.41971e-07,-1.7455e-05,5.1679e-06,-0.288525,-0.000365014,0,0,-3.68732,4.52927e-12,4.92258e-08,0
0.016,1.10555e-07,-0.00219859,2.5,1,0.000210492,8.52496e-07,-2.29177e-05,3.15638e-06,-0.298965,-0.000381156,0,0,-3.68741,5.39494e-12,4.92271e-08,0
0.0165,1.11615e-07,-0.00235068,2.5,1,0.000230917,9.66181e-07,-2.86349e-05,1.06988e-06,-0.309374,-0.000396699,0,0,-3.68748,6.2623e-12,4.9228e-08,0
0.017,1.11614e-07,-0.00250796,2.5,1,0.000249799,1.08303e-06,-3.4566e-05,-1.08461e-06,-0.319751,-0.000411647,0,0,-3.68753,7.12778e-12,4.92287e-08,0
0.0175,1.10519e-07,-0.00267042,2.5,1,0.000267156,1.20268e-06,-4.06413e-05,-3.29879e-06,-0.330097,-0.000426038,0,0,-3.68757,7.98495e-12,4.92292e-08,0
0.018,1.08308e-07,-0.00283805,2.5,1,0.00028297,1.32533e-06,-4.6832e-05,-5.54191e-06,-0.340409,-0.000439837,0,0,-3.6876,8.83041e-12,4.92296e-08,0
0.0185,1.04976e-07,-0.00301083,2.5,1,0.000297241,1.45122e-06,-5.31192e-05,-7.79446e-06,-0.350689,-0.00045306,0,0,-3.68762,9.66222e-12,4.92299e-08,0
0.019,1.0051e-07,-0.00318874,2.5,1,0.000309974,1.58051e-06,-5.94739e-05,-1.00708e-05,-0.360934,-0.00046571,0,0,-3.68764,1.04783e-11,4.92301e-08,0
0.0195,9.49093e-08,-0.00337176,2.5,1,0.000321171,1.71332e-06,-6.58657e-05,-1.23321e-05,-0.371146,-0.000477785,0,0,-3.68765,1.12742e-11,4.92303e-08,0
0.02,8.81789e-08,-0.00355988,2.5,1,0.00033084,1.84965e-06,-7.22467e-05,-1.45939e-05,-0.381323,-0.00048931,0,0,-3.68766,1.20467e-11,4.92304e-08,0
