x,y,z,v_x,v_y,v_z,|U|,rho,pressure
0.0639716, 0.0743621, 1.00648, -0.0587912, -0.00103293, 0.317593, 0.32299, 1019.33, 864.469
0.0472082, 0.0746534, 1.05496, -0.0739031, -0.000325071, 0.312364, 0.320987, 1016.05, 475.748
0.00320253, 0.0750912, 1.08133, -0.0821159, 0.000689856, 0.298639, 0.309724, 921.177, 449.835
-0.0474559, 0.0754707, 1.07324, -0.079587, 0.00153699, 0.282841, 0.293829, 1036.49, 383.293
-0.0810647, 0.0756143, 1.03448, -0.0674995, 0.00181996, 0.272361, 0.280606, 1128.76, 602.672
-0.081899, 0.0754548, 0.983185, -0.0515091, 0.00140637, 0.272102, 0.276938, 963.412, 788.272
-0.0495683, 0.0750669, 0.943355, -0.0390974, 0.000489745, 0.282186, 0.284882, 1000.88, 1213.2
0.000800348, 0.074632, 0.933626, -0.0360716, -0.000501053, 0.297894, 0.30007, 963.896, 1158.21
0.0456402, 0.0743537, 0.958549, -0.0438475, -0.00110244, 0.311877, 0.314946, 931.411, 1276.51
-0.0106158, 0.124965, 1.00753, -0.0582045, 0.000322642, 0.293914, 0.299622, 1435.46, 1000.78
0.0143801, 0.124763, 1.00712, -0.0580823, -0.000132076, 0.301709, 0.307249, 1286.24, 1012.85
-0.0227624, 0.125133, 1.02938, -0.0650142, 0.000724562, 0.290125, 0.297321, 1343.65, 904.991
-0.0234665, 0.124998, 0.986082, -0.0515177, 0.000375482, 0.289907, 0.294449, 1295.96, 1114.41
0.0643719, 0.12436, 1.00632, -0.0578379, -0.00104151, 0.3173, 0.32253, 998.228, 909.201
0.0476086, 0.124652, 1.0548, -0.0729498, -0.000333654, 0.312071, 0.320484, 983.73, 514.548
0.00360291, 0.125089, 1.08117, -0.0811626, 0.000681273, 0.298346, 0.30919, 903.205, 429.714
-0.0470555, 0.125469, 1.07308, -0.0786337, 0.0015284, 0.282548, 0.29329, 1123.44, 324.911
-0.0806644, 0.125612, 1.03432, -0.0665462, 0.00181137, 0.272068, 0.280094, 1105.84, 636.133
-0.0814986, 0.125453, 0.983023, -0.0505558, 0.00139779, 0.271809, 0.276474, 944.853, 1019.05
-0.0491679, 0.125065, 0.943193, -0.0381441, 0.000481162, 0.281893, 0.284462, 1009.07, 1388.81
0.00120073, 0.12463, 0.933464, -0.0351183, -0.000509636, 0.297601, 0.299666, 985.185, 1459.58
0.0460406, 0.124352, 0.958387, -0.0428942, -0.00111102, 0.311584, 0.314525, 946.075, 1249.41
