x,y,z,v_x,v_y,v_z,|U|,rho,pressure
-0.00998963, -0.125041, 0.996957, -0.0668879, 0.000331547, 0.271427, 0.279547, 1432.03, 1329.57
0.014999, -0.125222, 0.996227, -0.0666445, -0.000229338, 0.279897, 0.287722, 1277.7, 1207.84
-0.0218498, -0.12489, 1.01896, -0.0743427, 0.000790402, 0.267406, 0.277549, 1334.13, 1048.46
-0.0231194, -0.12501, 0.975683, -0.0596774, 0.000433626, 0.266977, 0.273566, 1297.75, 1529.79
0.0649764, -0.125585, 0.994767, -0.0661576, -0.00135111, 0.296837, 0.304123, 980.523, 1013.17
0.0488478, -0.125325, 1.04347, -0.0826558, -0.000560153, 0.291369, 0.302867, 1032.41, 687.245
0.00519001, -0.124931, 1.07041, -0.0917765, 0.000648016, 0.27657, 0.291401, 966.964, 460.019
-0.0455701, -0.124589, 1.06298, -0.0892522, 0.00170811, 0.259365, 0.274297, 1173.5, 428.297
-0.0796826, -0.124459, 1.02466, -0.076264, 0.00212414, 0.247803, 0.259282, 1052.22, 726.257
-0.0811869, -0.1246, 0.973383, -0.0588888, 0.00170143, 0.247294, 0.254215, 956.901, 1207.45
-0.049379, -0.124948, 0.933134, -0.0452563, 0.000637783, 0.258077, 0.262016, 1020.09, 1576.34
0.00085848, -0.125339, 0.922747, -0.0417449, -0.000569152, 0.275106, 0.278256, 1005.23, 1610.48
0.0460203, -0.125591, 0.947082, -0.0499975, -0.00135466, 0.290413, 0.294689, 963.394, 1338.04
-0.00963108, -0.0750424, 0.996809, -0.0657283, 0.00032227, 0.271104, 0.278958, 1592.33, 1522.72
0.0153576, -0.0752238, 0.996078, -0.0654848, -0.000238616, 0.279574, 0.287141, 1406.93, 1736.79
-0.0214912, -0.0748919, 1.01882, -0.073183, 0.000781125, 0.267083, 0.276929, 1423.26, 1129.09
-0.0227609, -0.0750115, 0.975534, -0.0585177, 0.000424348, 0.266654, 0.272999, 1406.42, 280.42
0.0653349, -0.0755865, 0.994618, -0.0649979, -0.00136039, 0.296514, 0.303557, 1017.78, 1013.5
0.0492063, -0.075326, 1.04332, -0.0814962, -0.00056943, 0.291046, 0.302241, 1070.35, 650.611
0.00554856, -0.0749328, 1.07026, -0.0906169, 0.000638739, 0.276247, 0.29073, 925.925, 403.282
-0.0452115, -0.0745909, 1.06283, -0.0880925, 0.00169884, 0.259042, 0.273616, 1036.56, 403.792
-0.079324, -0.0744602, 1.02451, -0.0751043, 0.00211486, 0.24748, 0.258634, 1105.64, 666.439
-0.0808283, -0.074602, 0.973234, -0.0577292, 0.00169216, 0.246971, 0.253634, 953.987, 877.058
-0.0490205, -0.0749498, 0.932985, -0.0440967, 0.000628506, 0.257754, 0.261499, 1014.96, 1293.38
0.00121703, -0.0753409, 0.922598, -0.0405853, -0.000578429, 0.274783, 0.277764, 977.165, 1213.66
0.0463789, -0.0755924, 0.946933, -0.0488379, -0.00136394, 0.29009, 0.294175, 946.645, 1341.31
-0.00927253, -0.0250439, 0.99666, -0.0645686, 0.000312992, 0.27078, 0.278372, 1591.9, 43.2258
0.0157161, -0.0252253, 0.99593, -0.0643252, -0.000247893, 0.279251, 0.286564, 1406.43, 1361.81
-0.0211327, -0.0248934, 1.01867, -0.0720234, 0.000771848, 0.26676, 0.276313, 1406.41, 1080.89
-0.0224023, -0.025013, 0.975385, -0.0573581, 0.000415071, 0.266331, 0.272437, 1406.4, 1201.81
0.0656935, -0.025588, 0.994469, -0.0638383, -0.00136966, 0.296191, 0.302995, 1008.79, 1034.38
0.0495649, -0.0253275, 1.04317, -0.0803365, -0.000578707, 0.290723, 0.301619, 1121.03, 531.696
0.00590711, -0.0249343, 1.07011, -0.0894572, 0.000629461, 0.275924, 0.290064, 815.964, 39.3363
-0.044853, -0.0245924, 1.06268, -0.0869329, 0.00168956, 0.258718, 0.272938, 832.423, 345.59
-0.0789655, -0.0244617, 1.02436, -0.0739447, 0.00210558, 0.247157, 0.25799, 968.262, 914.909
-0.0804698, -0.0246035, 0.973085, -0.0565695, 0.00168288, 0.246648, 0.253058, 914.788, 1130.78
-0.0486619, -0.0249513, 0.932836, -0.042937, 0.000619228, 0.257431, 0.260988, 990.235, 1541.06
0.00157558, -0.0253424, 0.922449, -0.0394256, -0.000587706, 0.274459, 0.277277, 986.031, 1277.72
0.0467374, -0.0255939, 0.946784, -0.0476782, -0.00137322, 0.289767, 0.293666, 927.27, 1399.28
-0.00891398, 0.0249546, 0.996511, -0.063409, 0.000303715, 0.270457, 0.277791, 1591.9, 43.2258
0.0160747, 0.0247732, 0.995781, -0.0631655, -0.00025717, 0.278927, 0.28599, 1406.47, 1437.4
-0.0207741, 0.0251051, 1.01852, -0.0708637, 0.000762571, 0.266437, 0.2757, 1406.41, 1126.89
-0.0220438, 0.0249855, 0.975237, -0.0561984, 0.000405794, 0.266007, 0.271879, 1406.4, 1249.17
