Time,x,y,z,q0,q1,q2,q3,Vx,Vy,Vz,Fx,Fy,Fz,Tx,Ty,Tz
0,0,0,2.3,1,0,0,0,0,0,0,0.0186999,-2.49914e-06,-2.99349,0.0126781,-0.00344659,0.000133494
0.0001,8.92852e-12,-1.19325e-15,2.3,1,1.72953e-10,-4.11406e-11,1.82111e-12,1.7361e-07,-2.32021e-11,-0.000714492,-0.000718464,2.46629e-06,0.109184,-0.000755185,0.00015053,-6.91249e-06
0.0002,3.12731e-11,-3.27413e-15,2.3,1,6.02861e-10,-1.43927e-10,6.35917e-12,2.77403e-07,-1.94691e-11,-0.00171215,-3.27615e-05,3.47748e-05,-0.00388326,-2.34705e-05,5.69788e-06,-1.18594e-06
0.0003,5.95199e-11,8.5718e-15,2.3,1,1.14245e-09,-2.73638e-10,1.20599e-11,2.88418e-07,2.49268e-10,-0.00269501,0.000157854,6.2644e-05,-0.037752,0.000172692,-3.47412e-05,-3.41557e-08
0.0004,8.83873e-11,6.60017e-14,2.3,1,1.69249e-09,-4.06133e-10,1.78429e-11,2.88852e-07,8.91705e-10,-0.00367622,0.000200986,8.8657e-05,-0.0480271,0.000213202,-4.41391e-05,-2.21864e-07
0.0005,1.17387e-10,2.05627e-13,2.3,1,2.24671e-09,-5.39373e-10,2.36044e-11,2.91115e-07,1.89378e-09,-0.00465777,0.000252244,0.000114477,-0.0595539,0.000264356,-5.5276e-05,-3.17851e-07
0.0006,1.46649e-10,4.62711e-13,2.3,1,2.80895e-09,-6.74061e-10,2.93569e-11,2.94128e-07,3.24105e-09,-0.00563949,0.000303607,0.000139922,-0.0710376,0.000315834,-6.64319e-05,-4.0358e-07
0.0007,1.76247e-10,8.71507e-13,2.3,1,3.38122e-09,-8.10583e-10,3.50976e-11,2.97815e-07,4.92811e-09,-0.00662135,0.000353906,0.000164905,-0.0822787,0.000366206,-7.73557e-05,-4.89245e-07
0.0008,2.06247e-10,1.46572e-12,2.3,1,3.96545e-09,-9.49307e-10,4.0823e-11,3.02175e-07,6.94952e-09,-0.00760337,0.000403089,0.000189363,-0.0932564,0.000415454,-8.80358e-05,-5.7362e-07
0.0009,2.36716e-10,2.27846e-12,2.3,1,4.56354e-09,-1.09059e-09,4.65299e-11,3.07194e-07,9.29874e-09,-0.00858554,0.000451017,0.000213232,-0.103936,0.000463438,-9.84415e-05,-6.56501e-07
