x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
0.0385458, 0.702218, 1.11354, 0.05, 0.0784127, 0.0388693, -0.615854, 0.622041, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0845304, 0.683322, 1.11886, 0.05, 0.0787529, 0.0365176, -0.627137, 0.633116, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0781995, 0.727989, 1.09731, 0.05, 0.0760193, 0.0383735, -0.622488, 0.628286, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.032217, 0.746887, 1.09198, 0.05, 0.075679, 0.0407252, -0.611206, 0.617218, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.00743708, 0.721118, 1.10821, 0.05, 0.0780722, 0.0412211, -0.604571, 0.610983, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.00111078, 0.676451, 1.12977, 0.05, 0.080806, 0.0393653, -0.609219, 0.615814, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0448699, 0.65755, 1.1351, 0.05, 0.0811466, 0.0370136, -0.620501, 0.626878, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.130515, 0.664426, 1.12419, 0.05, 0.0790931, 0.0341658, -0.63842, 0.644208, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.137432, 0.710157, 1.10095, 0.05, 0.0760419, 0.0355813, -0.636543, 0.642056, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.117853, 0.75376, 1.08108, 0.05, 0.0736259, 0.0378777, -0.629123, 0.634548, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0770258, 0.783554, 1.06991, 0.05, 0.0724924, 0.0404398, -0.618148, 0.623696, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0258882, 0.791555, 1.07043, 0.05, 0.0729452, 0.0425811, -0.606558, 0.61241, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0218579, 0.77562, 1.0825, 0.05, 0.0748629, 0.0437279, -0.597458, 0.603716, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0534199, 0.740018, 1.10289, 0.05, 0.0777318, 0.0435729, -0.593288, 0.599943, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0603412, 0.694288, 1.12613, 0.05, 0.080783, 0.0421577, -0.595164, 0.602099, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0407673, 0.650683, 1.146, 0.05, 0.0831992, 0.0398614, -0.602583, 0.609604, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
