x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
-0.0366169, -0.150119, 3.03806, 0.05, -0.455169, -0.003291, -0.664651, 0.805574, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0133498, -0.150622, 3.03981, 0.05, -0.455959, -0.00774025, -0.64344, 0.788653, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0131475, -0.149926, 3.08221, 0.05, -0.473864, -0.0025487, -0.654716, 0.808212, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0631129, -0.149422, 3.08046, 0.05, -0.473075, 0.00190058, -0.675926, 0.825033, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0865837, -0.149616, 3.03631, 0.05, -0.454381, 0.00115856, -0.685861, 0.822721, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0600904, -0.150312, 2.99391, 0.05, -0.436475, -0.0040328, -0.674587, 0.803489, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0101248, -0.150816, 2.99566, 0.05, -0.437262, -0.0084824, -0.653377, 0.786239, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0633164, -0.151125, 3.04157, 0.05, -0.456749, -0.0121895, -0.622229, 0.771969, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.048179, -0.150477, 3.09106, 0.05, -0.477667, -0.00757137, -0.628687, 0.789602, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0103219, -0.149732, 3.12636, 0.05, -0.492558, -0.00180639, -0.644781, 0.811394, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0401117, -0.149091, 3.13799, 0.05, -0.497431, 0.00356081, -0.666199, 0.831427, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0896089, -0.148726, 3.12285, 0.05, -0.490981, 0.00709217, -0.687202, 0.844606, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.124908, -0.148733, 3.08499, 0.05, -0.474935, 0.00784154, -0.702162, 0.847736, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.136551, -0.149112, 3.03456, 0.05, -0.453593, 0.00560812, -0.707072, 0.840077, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.121418, -0.149761, 2.98506, 0.05, -0.432674, 0.000990321, -0.700616, 0.82345, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0835639, -0.150506, 2.94977, 0.05, -0.417782, -0.00477459, -0.684523, 0.801958, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0331314, -0.151147, 2.93813, 0.05, -0.412907, -0.010142, -0.663106, 0.78122, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0163673, -0.151512, 2.95326, 0.05, -0.419355, -0.0136738, -0.642103, 0.767034, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0516696, -0.151505, 2.99112, 0.05, -0.4354, -0.0144237, -0.62714, 0.763601, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.113283, -0.151629, 3.04332, 0.05, -0.457538, -0.0166387, -0.601018, 0.75554, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.102448, -0.15101, 3.09427, 0.05, -0.479076, -0.0123185, -0.605651, 0.77232, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0748411, -0.150284, 3.13844, 0.05, -0.497731, -0.00690951, -0.617399, 0.793074, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0337913, -0.149539, 3.17051, 0.05, -0.511253, -0.00106409, -0.634847, 0.815114, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0157503, -0.148863, 3.1866, 0.05, -0.51801, 0.00451276, -0.655889, 0.83579, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0678086, -0.148338, 3.18477, 0.05, -0.517188, 0.0091484, -0.677987, 0.85278, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.116105, -0.148029, 3.16525, 0.05, -0.508886, 0.0122838, -0.698477, 0.864284, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.154814, -0.147971, 3.13039, 0.05, -0.494106, 0.0135407, -0.714888, 0.869131, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.179268, -0.148173, 3.08439, 0.05, -0.474629, 0.0127676, -0.725239, 0.866838, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.186517, -0.148609, 3.03281, 0.05, -0.452806, 0.0100577, -0.728283, 0.857631, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.175687, -0.149228, 2.98186, 0.05, -0.431267, 0.00573783, -0.723653, 0.842435, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.148084, -0.149953, 2.93768, 0.05, -0.412611, 0.000329026, -0.711906, 0.822835, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.107037, -0.150699, 2.90562, 0.05, -0.399088, -0.00551638, -0.69446, 0.800984, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0574973, -0.151375, 2.88952, 0.05, -0.392329, -0.0110934, -0.673418, 0.779447, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0054388, -0.151899, 2.89135, 0.05, -0.393148, -0.0157294, -0.65132, 0.76094, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0428593, -0.152209, 2.91086, 0.05, -0.401448, -0.0188652, -0.630829, 0.747972, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.081572, -0.152267, 2.94572, 0.05, -0.416227, -0.0201226, -0.614417, 0.7424, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.10603, -0.152065, 2.99171, 0.05, -0.435703, -0.0193501, -0.604064, 0.745053, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.16325, -0.152132, 3.04508, 0.05, -0.458328, -0.021088, -0.579807, 0.739382, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.15523, -0.151557, 3.09456, 0.05, -0.479248, -0.0171208, -0.583244, 0.75508, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.135157, -0.150893, 3.14049, 0.05, -0.498656, -0.0122847, -0.591795, 0.77397, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.104292, -0.150179, 3.17999, 0.05, -0.515331, -0.00688359, -0.604924, 0.794699, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0645728, -0.149462, 3.21057, 0.05, -0.528227, -0.00125672, -0.621805, 0.815884, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0184961, -0.148786, 3.23031, 0.05, -0.536532, 0.00424235, -0.641378, 0.836212, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0310433, -0.148194, 3.23797, 0.05, -0.539725, 0.00926809, -0.662414, 0.854506, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0809329, -0.147723, 3.23307, 0.05, -0.537605, 0.0135047, -0.68359, 0.869768, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.128038, -0.147402, 3.21592, 0.05, -0.530306, 0.0166861, -0.703576, 0.881205, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.169399, -0.147252, 3.18759, 0.05, -0.518286, 0.0186123, -0.721117, 0.888243, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.202418, -0.147282, 3.14987, 0.05, -0.502301, 0.0191624, -0.735109, 0.890538, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.225019, -0.147491, 3.10512, 0.05, -0.483354, 0.0183017, -0.744675, 0.887979, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.235783, -0.147864, 3.05616, 0.05, -0.462636, 0.0160843, -0.749213, 0.880688, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.234033, -0.148379, 3.00606, 0.05, -0.441449, 0.0126495, -0.748438, 0.86902, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.21988, -0.149004, 2.95798, 0.05, -0.421124, 0.00821326, -0.742398, 0.853562, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.194212, -0.149699, 2.91492, 0.05, -0.402939, 0.00305417, -0.731473, 0.835118, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.158643, -0.15042, 2.8796, 0.05, -0.388034, -0.00250358, -0.716351, 0.814699, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.115406, -0.151122, 2.85424, 0.05, -0.377348, -0.00811081, -0.697979, 0.793494, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0672197, -0.151761, 2.84042, 0.05, -0.371552, -0.0134152, -0.677514, 0.772823, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0171102, -0.152297, 2.83902, 0.05, -0.371009, -0.0180835, -0.65624, 0.754073, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0317737, -0.152696, 2.85013, 0.05, -0.375754, -0.0218224, -0.635495, 0.738594, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0763606, -0.152933, 2.87305, 0.05, -0.385488, -0.024397, -0.616582, 0.727578, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.113849, -0.152994, 2.90633, 0.05, -0.399601, -0.0256454, -0.600689, 0.721918, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.141884, -0.152874, 2.94789, 0.05, -0.417205, -0.0254894, -0.588814, 0.722088, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.158703, -0.15258, 2.99512, 0.05, -0.437194, -0.0239386, -0.581705, 0.728074, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0360091, -0.0917917, 3.03748, 0.05, -0.449596, -0.00338434, -0.668206, 0.805386, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0139575, -0.092295, 3.03924, 0.05, -0.450386, -0.00783359, -0.646995, 0.78836, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0125397, -0.0915983, 3.08163, 0.05, -0.468291, -0.00264204, -0.658271, 0.807851, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0625052, -0.091095, 3.07988, 0.05, -0.467502, 0.00180724, -0.679481, 0.824777, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.085976, -0.0912885, 3.03573, 0.05, -0.448808, 0.00106522, -0.689417, 0.822633, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0594826, -0.0919852, 2.99333, 0.05, -0.430902, -0.00412614, -0.678142, 0.803474, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.00951707, -0.0924884, 2.99508, 0.05, -0.431689, -0.00857574, -0.656932, 0.786122, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
