x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
-0.502024, -0.268623, 0.0501361, 0.05, -0.00224749, 0.0146528, 0.00321355, 0.0151684, 1007.53, 12047.7, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.501483, -0.271179, 0.106094, 0.05, -0.00512284, 0.0117669, 0.0399966, 0.0420051, 1007.87, 12600, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498755, -0.270596, 0.198066, 0.05, 0.033559, 0.0114719, 0.0535212, 0.0642054, 1006.14, 9824.4, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.50055, -0.275381, 0.250051, 0.05, 0.0174167, 0.0360983, 0.0400699, 0.0566747, 1004.72, 7557.37, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500259, -0.273779, 0.29642, 0.05, -0.021432, 0.0278594, 0.0476549, 0.0592154, 1003.8, 6081.9, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500082, -0.274977, 0.343605, 0.05, -0.0227321, 0.0395993, -0.00060799, 0.0456643, 1005.23, 8362.14, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499704, -0.274588, 0.390506, 0.05, -0.0168681, 0.0367604, 0.00152907, 0.0404746, 1004.06, 6502.79, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499074, -0.275262, 0.437032, 0.05, 0.00118956, 0.00586958, -0.0203541, 0.0212169, 1003.2, 5114.9, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499676, -0.274665, 0.483469, 0.05, 2.09221e-05, -0.027267, -0.026597, 0.0380906, 1004.21, 6740.07, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498397, -0.276445, 0.53002, 0.05, -0.0146907, -0.0512824, -0.0347109, 0.0636439, 1004.33, 6929.19, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499245, -0.274911, 0.577949, 0.05, -0.0194066, -0.0202401, -0.0649891, 0.0707804, 1002.67, 4273.31, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499738, -0.275013, 0.626614, 0.05, -0.0168977, 0.0101343, -0.0490318, 0.0528427, 1002.91, 4653.46, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498689, -0.276168, 0.675048, 0.05, -0.0159738, -0.00121253, -0.0121072, 0.0200803, 1002.82, 4506.95, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.50021, -0.273014, 0.721603, 0.05, -0.0212049, 0.0025225, -0.0468212, 0.051461, 1003.35, 5360.97, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499791, -0.276276, 0.767708, 0.05, -0.00351771, -0.000968497, 0.0265994, 0.0268484, 1001.48, 2363.66, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500046, -0.273142, 0.814589, 0.05, 0.00807978, 0.00623009, 0.000986967, 0.0102504, 1002.24, 3577.71, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500021, -0.275919, 0.862444, 0.05, 0.01073, 0.0202896, -0.006267, 0.0237923, 1001.04, 1663.01, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500144, -0.273557, 0.908675, 0.05, -0.00489443, 0.0206515, 0.0372267, 0.0428517, 1000.05, 85.8142, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498832, -0.277352, 0.957934, 0.05, -0.00129093, -0.00570926, -0.00946204, 0.0111262, 999.402, -956.998, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.49976, -0.277258, 1.00666, 0.05, 0.0380932, -0.00678864, 0.0227851, 0.0449036, 1000.27, 433.919, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500893, -0.271552, 1.06039, 0.05, -0.030504, -0.00922889, -0.0109328, 0.0336926, 999.714, -457.414, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.501889, -0.215964, 0.0507938, 0.05, -0.00493074, 0.0396921, 0.0302166, 0.050128, 1007.2, 11514.4, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500534, -0.230777, 0.159617, 0.05, 0.0065815, 0.0262141, 0.0398951, 0.0481883, 1006.53, 10449.5, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.504425, -0.220714, 0.224476, 0.05, -0.0109225, -0.000121349, 0.066502, 0.0673932, 1005.09, 8143.85, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500433, -0.222026, 0.274134, 0.05, -0.0233956, 0.013452, 0.040031, 0.0482783, 1004.32, 6907.43, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500337, -0.221951, 0.323251, 0.05, -0.0265436, -0.022712, 0.0312495, 0.0468714, 1003.85, 6163.21, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499308, -0.223687, 0.369043, 0.05, -0.0431813, -0.00376923, 0.00119767, 0.043362, 1003.44, 5496.07, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499953, -0.223845, 0.41644, 0.05, -0.0190848, 0.00370156, -0.0458994, 0.0498466, 1003.98, 6362.97, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498937, -0.224617, 0.462135, 0.05, 0.0174863, 0.0187202, -0.0620703, 0.0671487, 1005.37, 8588.53, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498747, -0.22592, 0.508932, 0.05, 0.0434058, 0.0157344, -0.0683295, 0.0824655, 1003.65, 5837.73, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.49825, -0.226901, 0.554708, 0.05, 0.0342532, 0.00698279, -0.0074766, 0.0357483, 1003.24, 5185.39, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498775, -0.227178, 0.602263, 0.05, -0.0157497, 0.0287724, -0.0362747, 0.0489056, 1002, 3195.3, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498139, -0.227025, 0.651761, 0.05, 0.0160513, 0.0146025, -0.0374559, 0.0432876, 1003.1, 4956.18, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.49969, -0.223351, 0.697072, 0.05, 0.0276933, 0.0239389, -0.0245278, 0.0440636, 1002.01, 3217.27, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498812, -0.22295, 0.743731, 0.05, 0.0166661, 0.0393437, -0.0234946, 0.0487615, 1002.88, 4600.66, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499611, -0.223092, 0.78899, 0.05, 0.00133302, 0.0132763, 0.0165843, 0.0212856, 1000.45, 723.209, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498374, -0.222636, 0.836586, 0.05, 0.00480674, -0.00406846, 0.00879669, 0.0108185, 1000.83, 1323.28, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499769, -0.223426, 0.881539, 0.05, 0.0158015, 0.00167071, 0.0180486, 0.0240464, 1001.47, 2352.41, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.497966, -0.221198, 0.927691, 0.05, 0.0151498, -0.0149679, -0.00225411, 0.0214157, 1001.59, 2546.36, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.488848, -0.233722, 0.968627, 0.05, 0.00124279, -0.00274605, -0.0128944, 0.013242, 1000.23, 364.904, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.501733, -0.223499, 1.01006, 0.05, 0.0220942, 0.0145492, 0.0404744, 0.048353, 1000.5, 806.539, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.497003, -0.22749, 1.06408, 0.05, -0.0121874, -0.0245664, -0.0109088, 0.0295134, 999.41, -943.255, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.505282, -0.164322, 0.0757376, 0.05, -0.0128114, 0.0250779, 0.024091, 0.0370596, 1007.7, 12313.4, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.502314, -0.213051, 0.11031, 0.05, -0.00370032, 0.0218723, 0.0175637, 0.0282944, 1006.71, 10738.4, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.496819, -0.165257, 0.20741, 0.05, -0.0285257, 0.0494841, 0.0481595, 0.074711, 1007.49, 11977.4, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500012, -0.167268, 0.254256, 0.05, -0.0141221, 0.00720789, 0.0457678, 0.0484364, 1004.7, 7527.64, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.497506, -0.170582, 0.299037, 0.05, 0.0068416, -0.00137249, 0.010265, 0.0124121, 1005.86, 9379.44, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499635, -0.171977, 0.347063, 0.05, -0.00813273, -0.00477352, 0.0243927, 0.0261521, 1004.45, 7118.85, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498759, -0.172852, 0.39405, 0.05, -0.0318971, -0.00904908, 0.00876531, 0.034295, 1003.75, 5994.56, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499151, -0.173479, 0.44117, 0.05, -0.0207702, -0.000846836, -0.0139591, 0.0250395, 1004.79, 7670.57, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498028, -0.175859, 0.487494, 0.05, -0.0172872, 0.0272171, -0.0379143, 0.0497706, 1003.56, 5701.47, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500488, -0.174839, 0.532438, 0.05, -0.00194288, 0.0351518, -0.0555463, 0.0657633, 1003.59, 5749.45, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498276, -0.17865, 0.578316, 0.05, 0.000961123, 0.0228653, -0.033901, 0.0409026, 1004.41, 7056.23, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
