x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
0.0261886, -0.0745291, 0.732265, 0.05, 0.00553202, -0.0598328, -0.0407486, 0.0726017, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0749362, -0.0636184, 0.730113, 0.05, 0.00449655, -0.0561176, -0.0453683, 0.0723027, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0525889, -0.0695917, 0.774439, 0.05, 0.00848365, -0.0548193, -0.0431832, 0.0702988, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.00384274, -0.0805021, 0.776593, 0.05, 0.00951927, -0.0585343, -0.0385636, 0.0707392, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0225587, -0.0854398, 0.734421, 0.05, 0.00656786, -0.0635477, -0.0361289, 0.0733944, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.00021547, -0.0794674, 0.690093, 0.05, 0.00258066, -0.0648464, -0.0383136, 0.0753634, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0485305, -0.0685569, 0.687934, 0.05, 0.00154467, -0.0611318, -0.0429331, 0.0747177, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.133433, -0.0505256, 0.727531, 0.05, 0.00325399, -0.0516593, -0.0509119, 0.0726037, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.123541, -0.0538866, 0.779131, 0.05, 0.00761068, -0.04887, -0.049895, 0.0702546, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.091347, -0.0619764, 0.819996, 0.05, 0.0114912, -0.0485919, -0.0467828, 0.0684241, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0442273, -0.0729416, 0.840764, 0.05, 0.0140066, -0.0508889, -0.0422884, 0.0676326, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0070246, -0.0842705, 0.836677, 0.05, 0.0145807, -0.0552346, -0.0374412, 0.068303, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0506682, -0.0933679, 0.808672, 0.05, 0.013082, -0.0606337, -0.0333517, 0.0704267, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
