x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
-3.75426e-09, -0.199825, 1.72949, 0.05, -2.04987e-05, 0.0078268, -3.82746, 3.82747, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.05, -0.199825, 1.72949, 0.05, -2.04987e-05, 0.00782957, -3.82746, 3.82747, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0250013, -0.199466, 1.77279, 0.05, -1.97929e-05, 0.0205507, -3.82757, 3.82762, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0249974, -0.199466, 1.7728, 0.05, -1.97928e-05, 0.0205486, -3.82757, 3.82762, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.05, -0.199825, 1.7295, 0.05, -2.04986e-05, 0.0078254, -3.82746, 3.82747, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0250053, -0.200184, 1.6862, 0.05, -2.12045e-05, -0.0048964, -3.82736, 3.82736, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0249933, -0.200184, 1.68619, 0.05, -2.12046e-05, -0.00489567, -3.82736, 3.82736, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.11, -0.199825, 1.72949, 0.05, -2.04987e-05, 0.00783289, -3.82746, 3.82747, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0974008, -0.199401, 1.78061, 0.05, -1.96654e-05, 0.0228517, -3.82759, 3.82766, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0624896, -0.199075, 1.82002, 0.05, -1.9023e-05, 0.0344286, -3.82768, 3.82784, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0132636, -0.19892, 1.83869, 0.05, -1.87187e-05, 0.0399118, -3.82773, 3.82794, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0390008, -0.198972, 1.83234, 0.05, -1.88221e-05, 0.0380451, -3.82771, 3.8279, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0823311, -0.19922, 1.80244, 0.05, -1.93096e-05, 0.0292561, -3.82764, 3.82775, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
