x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
-0.499325, -0.273779, 0.0484505, 0.05, 0.0164566, -0.0620865, 0.0292158, 0.0705629, 1001.53, 2452.78, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.496545, -0.277636, 0.0952657, 0.05, -0.0656223, -0.0558326, -0.0189185, 0.0882126, 1004.39, 7020.01, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.49762, -0.275741, 0.154046, 0.05, -0.0573769, -0.0125604, -0.0400098, 0.0710679, 1003.89, 6223.64, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.501914, -0.272698, 0.205916, 0.05, 0.0072347, -0.000852855, -0.032795, 0.0335943, 1004.55, 7283.05, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.501841, -0.273817, 0.258409, 0.05, 0.0515482, -0.0469164, 0.0460021, 0.0835138, 1004.61, 7379.4, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500081, -0.274034, 0.310369, 0.05, 0.0171597, -0.0739968, -0.0101245, 0.0766322, 1003.5, 5601.53, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500146, -0.274598, 0.36095, 0.05, 0.0240289, -0.0398148, -0.0822056, 0.0944477, 1002.62, 4195.24, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499759, -0.27447, 0.411479, 0.05, 0.0463029, 0.00809922, -0.0711074, 0.0852398, 1003.64, 5817.02, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500311, -0.274506, 0.461449, 0.05, -0.0343717, -0.0066473, 0.0432427, 0.0556375, 1003.86, 6170.15, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499925, -0.274951, 0.511679, 0.05, -0.0383184, 0.0605396, -0.0214252, 0.0747822, 1000.8, 1273.87, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499487, -0.274524, 0.56121, 0.05, -0.0516673, 0.0819655, -0.0141618, 0.0979204, 1002.76, 4408.66, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500524, -0.274696, 0.61129, 0.05, -0.0414452, 0.0082302, 0.0495416, 0.0651138, 1004.28, 6844.2, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499814, -0.273873, 0.65902, 0.05, -0.0534225, -0.0329873, -0.0865066, 0.10689, 1003.9, 6236.34, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499957, -0.274364, 0.706697, 0.05, 0.00743904, 0.023893, -0.128461, 0.130876, 1002.32, 3707.05, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499651, -0.275468, 0.755058, 0.05, -0.0265043, 0.0260113, -0.115526, 0.121348, 1001.73, 2768.81, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499603, -0.275166, 0.805371, 0.05, -0.0344901, 0.0218538, -0.0946931, 0.103121, 1001.03, 1654.61, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500572, -0.274049, 0.852386, 0.05, -0.00963755, 0.0274766, -0.050895, 0.0586357, 998.535, -2344.09, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.50027, -0.27392, 0.901907, 0.05, 0.0131948, 0.0715236, 0.0332094, 0.0799536, 997.674, -3720.84, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500619, -0.274992, 0.953153, 0.05, 0.0214154, 0.0419225, 0.0390926, 0.0611911, 998.932, -1708.93, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.501371, -0.274109, 1.00342, 0.05, -0.0376311, -0.0701398, -0.0682367, 0.104842, 999.575, -680.402, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
