x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
0.0320717, 0.8278, 1.17172, 0.05, -0.011017, 0.0908663, 0.242578, 0.259272, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0791041, 0.810832, 1.17191, 0.05, -0.0105014, 0.0921887, 0.232736, 0.25055, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0682246, 0.854095, 1.14933, 0.05, -0.0155339, 0.0944509, 0.239495, 0.257915, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0211942, 0.871064, 1.14914, 0.05, -0.0160498, 0.0931286, 0.249337, 0.266645, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0149592, 0.844773, 1.17154, 0.05, -0.0115331, 0.0895441, 0.25242, 0.26808, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.00408422, 0.80151, 1.19412, 0.05, -0.00650036, 0.0872817, 0.245662, 0.260787, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0429448, 0.784536, 1.1943, 0.05, -0.00598403, 0.0886037, 0.23582, 0.251987, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.126136, 0.793864, 1.17209, 0.05, -0.00998583, 0.0935112, 0.222894, 0.241921, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.128125, 0.838569, 1.14607, 0.05, -0.0156373, 0.0965324, 0.227654, 0.247768, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.104377, 0.880389, 1.12693, 0.05, -0.0200509, 0.0980354, 0.236412, 0.256717, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0612569, 0.908119, 1.11979, 0.05, -0.0220439, 0.0976177, 0.246822, 0.266339, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0103167, 0.914328, 1.12656, 0.05, -0.0210825, 0.0953909, 0.256095, 0.274096, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0347946, 0.897354, 1.14543, 0.05, -0.0174242, 0.0919519, 0.261747, 0.277975, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0619902, 0.861745, 1.17135, 0.05, -0.0120492, 0.088222, 0.262262, 0.276965, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0639834, 0.81704, 1.19737, 0.05, -0.00639762, 0.0852006, 0.257503, 0.271308, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0402402, 0.775219, 1.21651, 0.05, -0.00198373, 0.0836972, 0.248746, 0.262457, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.00287784, 0.747486, 1.22366, 0.05, 9.83809e-06, 0.0841146, 0.238335, 0.252743, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0538179, 0.741272, 1.21689, 0.05, -0.000951055, 0.0863411, 0.229062, 0.244796, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0989314, 0.758242, 1.19802, 0.05, -0.00460895, 0.08978, 0.22341, 0.240818, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.173169, 0.776895, 1.17227, 0.05, -0.00947024, 0.0948336, 0.213052, 0.233397, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.17963, 0.82117, 1.1456, 0.05, -0.0152205, 0.0980579, 0.217011, 0.238622, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.168295, 0.866245, 1.12207, 0.05, -0.0204638, 0.100415, 0.224053, 0.246377, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.14053, 0.906683, 1.10453, 0.05, -0.0245678, 0.10162, 0.233329, 0.255681, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0996846, 0.937607, 1.0951, 0.05, -0.0270374, 0.101528, 0.243721, 0.265403, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0506843, 0.955288, 1.09491, 0.05, -0.0275748, 0.100151, 0.253975, 0.274397, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.000560842, 0.957592, 1.10398, 0.05, -0.0261153, 0.0976533, 0.262854, 0.281621, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0478703, 0.944243, 1.12122, 0.05, -0.0228347, 0.0943373, 0.269288, 0.286247, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.085538, 0.91685, 1.14455, 0.05, -0.0181289, 0.0906027, 0.272501, 0.28774, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.109021, 0.878717, 1.17116, 0.05, -0.0125653, 0.0868999, 0.272104, 0.28592, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.115487, 0.834443, 1.19784, 0.05, -0.00681495, 0.0836754, 0.268147, 0.280982, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
