x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
0.0169891, 0.611324, 0.984044, 0.05, -0.014281, 0.164471, 0.571703, 0.595062, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0585172, 0.595054, 1.00664, 0.05, -0.0150258, 0.165768, 0.574006, 0.597652, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0606128, 0.634301, 0.975737, 0.05, -0.0140546, 0.164158, 0.572027, 0.595282, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.019087, 0.650572, 0.953138, 0.05, -0.0133098, 0.16286, 0.569724, 0.592694, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0245367, 0.627596, 0.961442, 0.05, -0.0135361, 0.163173, 0.5694, 0.592474, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0266368, 0.588349, 0.992347, 0.05, -0.0145072, 0.164783, 0.571379, 0.594843, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0148866, 0.572075, 1.01495, 0.05, -0.0152521, 0.166081, 0.573682, 0.597434, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.100045, 0.578785, 1.02924, 0.05, -0.0157706, 0.167066, 0.576309, 0.600243, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.115313, 0.61907, 1.00055, 0.05, -0.0148796, 0.165608, 0.574736, 0.598305, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.104237, 0.657279, 0.967431, 0.05, -0.0138283, 0.163845, 0.572351, 0.595501, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0697835, 0.683175, 0.938765, 0.05, -0.0128982, 0.16225, 0.569792, 0.592582, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0211849, 0.68982, 0.922232, 0.05, -0.0123386, 0.16125, 0.567745, 0.590329, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0285378, 0.675433, 0.922259, 0.05, -0.0122994, 0.161112, 0.566759, 0.589342, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0660624, 0.643869, 0.938841, 0.05, -0.0127912, 0.161875, 0.567097, 0.589887, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0813347, 0.603585, 0.967534, 0.05, -0.0136821, 0.163333, 0.56867, 0.59182, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0702627, 0.565374, 1.00065, 0.05, -0.0147335, 0.165096, 0.571056, 0.594624, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.035813, 0.539475, 1.02932, 0.05, -0.0156636, 0.166691, 0.573615, 0.597549, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0127841, 0.532827, 1.04585, 0.05, -0.0162233, 0.167692, 0.575662, 0.599808, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0625079, 0.54721, 1.04583, 0.05, -0.0162625, 0.167829, 0.576648, 0.600794, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
