x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
-6.33751e-06, -0.150002, 2.2308, 0.05, -0.000123093, -2.77201e-05, -1.14768, 1.14768, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0499937, -0.150002, 2.23079, 0.05, -0.000123096, -2.84993e-05, -1.14774, 1.14774, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0249977, -0.149986, 2.27409, 0.05, -7.85686e-05, 0.000296081, -1.14771, 1.14771, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.025001, -0.149986, 2.2741, 0.05, -7.8563e-05, 0.000296877, -1.14766, 1.14766, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0500063, -0.150001, 2.2308, 0.05, -0.000123085, -2.69063e-05, -1.14763, 1.14763, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0250144, -0.150017, 2.1875, 0.05, -0.000167615, -0.000351504, -1.14766, 1.14766, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0249843, -0.150017, 2.18749, 0.05, -0.000167626, -0.000352335, -1.14771, 1.14771, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0999937, -0.150002, 2.23079, 0.05, -0.0001231, -2.92785e-05, -1.14779, 1.14779, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0866001, -0.149984, 2.28079, 0.05, -7.16848e-05, 0.00034527, -1.14777, 1.14777, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0500018, -0.14997, 2.31739, 0.05, -3.4044e-05, 0.000619882, -1.14774, 1.14774, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
4.55067e-06, -0.149965, 2.3308, 0.05, -2.02625e-05, 0.000720979, -1.14768, 1.14768, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
