x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
-0.989147, -0.488678, 0.382497, 0.05, 0.0563948, 0.168904, 0.303546, 0.351921, 1019.32, 30912.6, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.728661, 0.0516349, 1.43939, 0.05, -0.0811249, 0.117396, 0.23432, 0.274352, 1000.93, 1492.01, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.913775, -0.423096, 1.38837, 0.05, -0.0625678, 0.00508666, 0.504372, 0.508264, 997.939, -3297.52, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.992066, -0.490423, 0.713881, 0.05, 0.0155895, 0.117627, 0.415886, 0.432482, 1005.94, 9504.48, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.0500748, 0.188653, 1.37361, 0.05, -0.0853161, 0.0314119, -0.0717747, 0.115832, 998.064, -3097.21, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.193483, 0.242574, 1.36486, 0.05, -0.0569473, -0.121585, -0.0119943, 0.134795, 1003.42, 5469.21, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.991015, -0.488903, 1.18785, 0.05, -0.0351798, -0.0308998, 0.193209, 0.198802, 1004.62, 7384.25, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.00212065, 0.208385, 1.14884, 0.05, -0.0647463, 0.141298, -0.137245, 0.207348, 998.381, -2590.44, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.61196, 0.062109, 1.17291, 0.05, -0.0731722, 0.120151, -0.0149791, 0.141473, 998.594, -2248.99, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.0339006, 0.146245, 1.07423, 0.05, -0.0851398, 0.237118, -0.163441, 0.300311, 1000.47, 749.467, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.958404, -0.501924, 1.38711, 0.05, 0.245731, 0.098271, 0.38985, 0.471194, 999.325, -1080.62, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
0.00664565, 0.13376, 1.05682, 0.05, -0.00594011, -0.0460346, -0.0716377, 0.0853606, 1000.2, 327.573, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
