x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
0.0128885, -0.14361, 2.03832, 0.05, 0.0344923, 0.0986996, -1.31931, 1.32345, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0628862, -0.143453, 2.03788, 0.05, 0.034513, 0.0937595, -1.31874, 1.32251, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0382566, -0.138695, 2.08113, 0.05, 0.0343535, 0.127786, -1.32257, 1.32917, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0117398, -0.138852, 2.08158, 0.05, 0.0343329, 0.132727, -1.32315, 1.33023, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0371093, -0.143766, 2.03877, 0.05, 0.0344717, 0.103643, -1.31989, 1.3244, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0124837, -0.148525, 1.99552, 0.05, 0.0346312, 0.0696154, -1.31605, 1.31835, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0375127, -0.148369, 1.99507, 0.05, 0.0346518, 0.0646704, -1.31548, 1.31752, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.112884, -0.143296, 2.03743, 0.05, 0.0345336, 0.0888195, -1.31816, 1.3216, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0999128, -0.137754, 2.08724, 0.05, 0.0343558, 0.126581, -1.32241, 1.3289, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0636248, -0.13378, 2.12393, 0.05, 0.0342146, 0.156872, -1.32583, 1.33551, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0137428, -0.13244, 2.13769, 0.05, 0.0341479, 0.171577, -1.3275, 1.33898, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.036368, -0.134093, 2.12483, 0.05, 0.0341734, 0.166755, -1.32698, 1.33785, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0732814, -0.138296, 2.08879, 0.05, 0.0342843, 0.143699, -1.32441, 1.33262, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
