x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
-0.503399, -0.268784, 0.0505795, 0.05, -0.156546, 0.0361141, -0.0827094, 0.180698, 995.889, -6578.32, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.501656, -0.270806, 0.111039, 0.05, 0.0579179, 0.0929614, 0.143522, 0.18054, 1001.87, 2991.12, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.501957, -0.266341, 0.190827, 0.05, -0.109419, -0.116833, 0.189062, 0.247724, 1002.94, 4703.21, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.501037, -0.275804, 0.24339, 0.05, -0.205058, -0.0717657, 0.0489665, 0.222703, 1004.51, 7222.75, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499837, -0.274802, 0.293188, 0.05, -0.111019, -0.0406068, 0.0662249, 0.135498, 1005.07, 8111.72, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500462, -0.274697, 0.34124, 0.05, -0.0110271, 0.00628387, -0.104073, 0.104844, 1006.68, 10691.8, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499945, -0.275116, 0.388937, 0.05, -0.0438759, 0.050102, 0.00181747, 0.0666229, 1008.98, 14372.1, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500054, -0.275052, 0.437934, 0.05, -0.0614532, 0.0958678, -0.14123, 0.181419, 1012.67, 20265.9, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499989, -0.275256, 0.485639, 0.05, -0.028965, 0.0592147, -0.0853255, 0.107823, 1007.02, 11226, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.49995, -0.275498, 0.534721, 0.05, 0.0208497, 0.147581, -0.055035, 0.158882, 1002.15, 3440.26, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499324, -0.274437, 0.58206, 0.05, 0.11029, 0.184314, -0.0526457, 0.221149, 1001.66, 2657.4, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500655, -0.274351, 0.630219, 0.05, 0.15347, 0.132462, 0.0510037, 0.209047, 999.478, -835.875, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
