x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
-0.00315975, -0.139834, 2.14229, 0.05, -0.0301124, 0.0285295, -0.0805096, 0.0905676, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0467837, -0.140591, 2.14454, 0.05, -0.030454, 0.0263465, -0.0736729, 0.08396, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0199745, -0.134086, 2.18624, 0.05, -0.0356459, 0.0382589, -0.0788694, 0.0946296, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0299677, -0.133328, 2.18399, 0.05, -0.0353047, 0.0404424, -0.085706, 0.101131, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0531034, -0.139076, 2.14004, 0.05, -0.0297715, 0.0307137, -0.0873464, 0.0972578, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0262981, -0.145582, 2.09834, 0.05, -0.0245793, 0.0188009, -0.0821504, 0.0877855, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0236443, -0.14634, 2.10058, 0.05, -0.0249199, 0.0166162, -0.0753136, 0.0810508, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0967272, -0.141349, 2.14679, 0.05, -0.0307955, 0.0241635, -0.0668362, 0.0774552, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0812224, -0.134071, 2.19564, 0.05, -0.0368962, 0.0372432, -0.0707215, 0.0880336, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0431087, -0.128338, 2.23019, 0.05, -0.0411794, 0.0479883, -0.0772293, 0.0998147, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.00740178, -0.125684, 2.24119, 0.05, -0.0424973, 0.0535197, -0.084616, 0.108767, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0567757, -0.126822, 2.22569, 0.05, -0.0404969, 0.0523554, -0.0909025, 0.112447, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0917841, -0.131446, 2.18784, 0.05, -0.0357142, 0.0448073, -0.0944043, 0.110433, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.103047, -0.138317, 2.13779, 0.05, -0.0294306, 0.0328979, -0.0941833, 0.104014, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0875469, -0.145595, 2.08894, 0.05, -0.0233297, 0.019818, -0.0902986, 0.0953461, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0494365, -0.151329, 2.05439, 0.05, -0.0190461, 0.00907224, -0.0837911, 0.0864061, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.00107302, -0.153983, 2.04338, 0.05, -0.0177275, 0.00353974, -0.0764044, 0.0785139, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0504484, -0.152846, 2.05888, 0.05, -0.0197273, 0.00470284, -0.0701176, 0.0729915, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0854604, -0.148223, 2.09672, 0.05, -0.0245097, 0.0122499, -0.0666151, 0.0720303, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.146671, -0.142107, 2.14905, 0.05, -0.031137, 0.0219804, -0.0599996, 0.0710816, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.135457, -0.134711, 2.19938, 0.05, -0.0374288, 0.0351958, -0.0633434, 0.0815601, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
