x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
0.00123272, -0.101117, 0.321414, 0.05, 0.0143413, 0.0144076, -0.255075, 0.255883, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0493791, -0.104436, 0.308341, 0.05, 0.0124502, 0.0077776, -0.260356, 0.260769, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0359013, -0.111148, 0.356019, 0.05, 0.0151438, -0.00425479, -0.261288, 0.261761, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0122432, -0.107829, 0.369094, 0.05, 0.017035, 0.00237422, -0.256007, 0.256584, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0469125, -0.0977986, 0.334492, 0.05, 0.0162326, 0.021036, -0.249794, 0.251203, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0334391, -0.0910859, 0.286813, 0.05, 0.013539, 0.0330697, -0.24886, 0.251413, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0147043, -0.0944035, 0.273733, 0.05, 0.0116477, 0.0264424, -0.254141, 0.255778, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.107155, -0.108419, 0.292653, 0.05, 0.0101809, -0.000178401, -0.266694, 0.266888, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.10753, -0.117465, 0.344517, 0.05, 0.0127211, -0.0166258, -0.269581, 0.270392, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0835544, -0.122767, 0.391088, 0.05, 0.0156325, -0.0259643, -0.269145, 0.270846, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0407214, -0.123109, 0.421699, 0.05, 0.0182481, -0.0260546, -0.265486, 0.267385, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0111574, -0.118413, 0.429337, 0.05, 0.0199688, -0.016876, -0.259442, 0.260756, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.060198, -0.109755, 0.412253, 0.05, 0.0204003, -0.000531114, -0.252398, 0.253221, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0951663, -0.0991184, 0.37436, 0.05, 0.0194439, 0.0192358, -0.245966, 0.247482, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.108052, -0.0889394, 0.324338, 0.05, 0.0173186, 0.0378968, -0.241622, 0.245188, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0959034, -0.08155, 0.273647, 0.05, 0.0145113, 0.0511769, -0.240358, 0.246174, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0615034, -0.0786428, 0.233898, 0.05, 0.011665, 0.0560341, -0.242466, 0.24913, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0127321, -0.0808839, 0.214197, 0.05, 0.00943181, 0.0513558, -0.247463, 0.252911, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0392382, -0.0877597, 0.219056, 0.05, 0.00832326, 0.0382136, -0.254202, 0.257193, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0825024, -0.0976954, 0.247363, 0.05, 0.00859328, 0.019618, -0.261142, 0.262019, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
