x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
-0.988702, -0.489368, 0.323545, 0.05, -0.0453525, 0.00518072, 0.0193903, 0.0495951, 1028.65, 45841.6, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.750496, 0.0208541, 1.39315, 0.05, 0.0639429, 0.0650999, -0.174951, 0.197319, 1002.16, 3453.71, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.926141, -0.490299, 1.40205, 0.05, 0.0259154, 0.254928, -0.063888, 0.264086, 1004.54, 7262.13, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.989041, -0.493447, 0.625759, 0.05, -0.032552, -0.0978705, -0.0436646, 0.112004, 1021, 33597.1, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.0504861, 0.115029, 1.44309, 0.05, 0.185405, 0.0695123, 0.0993153, 0.221519, 995.47, -7247.25, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.169439, 0.189273, 1.42121, 0.05, 0.1139, 0.0533533, -0.0107316, 0.126234, 1003.03, 4853.84, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.987804, -0.491955, 1.07256, 0.05, -0.0342462, 0.184244, 0.381893, 0.425395, 1009.94, 15905.2, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.00295355, 0.157167, 1.223, 0.05, 0.00665556, 0.186522, -0.0865581, 0.205736, 1001.27, 2025.47, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.584741, 0.0296665, 1.22493, 0.05, 0.161845, 0.074347, -0.195123, 0.264187, 1001.32, 2117.17, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.0393825, 0.0830571, 1.15018, 0.05, 0.127272, 0.0282002, -0.0121826, 0.130926, 995.63, -6992.6, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.95248, -0.499472, 1.35195, 0.05, 0.173198, 0.0325874, -0.0291646, 0.178633, 1003.04, 4860.49, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
0.00450377, 0.0865481, 1.14692, 0.05, -0.0140281, 0.0712039, -0.0403896, 0.0830549, 1002.13, 3407.42, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.983836, -0.396701, 1.36389, 0.05, -0.0848976, -0.0619465, -0.0592646, 0.120653, 999.279, -1153.81, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.547413, 0.0678005, 1.27015, 0.05, 0.125006, 0.0502572, -0.165748, 0.213599, 1001.92, 3069, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.0220778, 0.166471, 1.28902, 0.05, -0.0296265, 0.0916273, 0.0978341, 0.137276, 1001.98, 3165.4, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.508933, 0.144651, 1.29264, 0.05, 0.174477, 0.141357, -0.103718, 0.247349, 1005.6, 8959.34, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.211048, 0.0186866, 1.38047, 0.05, 0.188936, 0.0277052, 0.14335, 0.238776, 997.824, -3481.57, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.0432294, 0.116125, 1.31903, 0.05, 0.0640029, -0.0450146, 0.222956, 0.236288, 1003.34, 5351.56, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.347833, 0.349091, 1.2765, 0.05, 0.140697, 0.156607, 0.0346062, 0.213352, 1007.21, 11534.3, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.851596, -0.111318, 1.25744, 0.05, 0.161751, -0.239435, -0.00987774, 0.289119, 999.125, -1399.36, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-1.00893, -0.231175, 1.59898, 0.05, -0.000857083, 0.000102476, -0.563182, 0.563183, 999.99, -16.4283, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.962453, -0.155526, 1.37474, 0.05, -0.171731, -0.168624, -0.134744, 0.275829, 1002.98, 4763.74, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
