x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
-0.502645, -0.268433, 0.0507719, 0.05, -0.0275615, -0.0195474, -0.0348246, 0.0485231, 1004.52, 7239.92, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.501275, -0.271159, 0.108112, 0.05, 0.0260467, 0.0364035, -0.0651897, 0.0790781, 1005.98, 9574.84, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498965, -0.270217, 0.198563, 0.05, -0.0195401, -0.00318659, 0.00959229, 0.0219996, 1005.53, 8846.3, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.50031, -0.275856, 0.25034, 0.05, -0.0171407, -0.00450706, 0.0271479, 0.0324211, 1003.75, 6002.97, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500284, -0.273484, 0.29735, 0.05, -0.0174308, 0.00159123, 0.00107879, 0.0175365, 1002.32, 3704.44, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.49998, -0.275142, 0.344569, 0.05, -0.0100888, 0.0260287, 0.0307645, 0.0415419, 1003.48, 5574.83, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.49955, -0.274268, 0.391595, 0.05, -0.0193859, 0.0207586, 0.0615196, 0.0677598, 1002.61, 4171.69, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499063, -0.275352, 0.437488, 0.05, -0.0121762, 0.0207297, 0.0714217, 0.0753594, 1002.14, 3422.82, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499435, -0.274644, 0.483444, 0.05, 0.0316266, 0.0291468, -0.0208337, 0.0477894, 1000.91, 1454.17, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.4983, -0.276412, 0.530061, 0.05, 0.0199389, -0.0144053, 0.056053, 0.0612128, 1002.63, 4205.83, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499408, -0.274665, 0.577522, 0.05, -0.0286448, -0.0534445, 0.0602165, 0.0854568, 1004.26, 6821.15, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.49961, -0.275006, 0.626372, 0.05, -0.0295144, -0.0286373, -0.0147942, 0.0437043, 1002.84, 4548.33, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499067, -0.275585, 0.6751, 0.05, 0.00208784, 0.0456418, -0.0556639, 0.0720139, 1000.86, 1375.69, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500025, -0.273237, 0.722189, 0.05, 0.00905813, 0.0626919, 0.0324421, 0.0711675, 1002.55, 4079.11, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500171, -0.276047, 0.768737, 0.05, 0.0406275, 0.0368873, 0.0305577, 0.0628096, 1002.89, 4626.42, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500156, -0.272789, 0.815776, 0.05, 0.0268158, 0.00562752, 0.0781158, 0.0827819, 1002.41, 3848.83, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500236, -0.275925, 0.863677, 0.05, 0.0185907, 0.0191951, 0.0164015, 0.031354, 1002.77, 4428.45, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500246, -0.273838, 0.910749, 0.05, 0.0196321, 0.0426062, 0.00391413, 0.0470747, 1000.03, 51.1644, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499204, -0.277357, 0.960617, 0.05, 0.00219756, 0.0144801, 0.0278999, 0.0315105, 999.201, -1277.9, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
