x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
-0.988584, -0.489824, 0.130741, 0.05, -0.0340291, 0.0033537, 0.0322706, 0.0470172, 1029.03, 46447.9, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.692574, -0.369038, 2.83678, 0.05, 0.40117, 0.332464, 0.831372, 0.981147, 997.834, -3466.13, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.986224, -0.493022, 1.01426, 0.05, 0.0757875, -0.0355557, -0.00227758, 0.0837445, 1005.6, 8967.77, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.983522, -0.493158, 0.310276, 0.05, -0.0237609, -0.0399968, 0.0892749, 0.100669, 1016.26, 26016.7, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.487886, -0.173818, 3.33715, 0.05, 1.18377, 0.408146, 1.85762, 2.24023, 1001.18, 1889.82, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.554533, -0.358844, 2.84736, 0.05, 0.484821, 0.378917, 0.238969, 0.660103, 998.644, -2169.58, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.989501, -0.493515, 0.714869, 0.05, -0.00697647, -0.000102914, -0.0224996, 0.0235566, 1010.39, 16621, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.399016, -0.100932, 3.11891, 0.05, 0.870831, 0.179655, 1.35868, 1.62377, 1000, 1.20844, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.641009, -0.34926, 2.56508, 0.05, 0.236016, 0.589197, -0.00461365, 0.634727, 1000.31, 489.335, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.495085, -0.19838, 3.3497, 0.05, 1.09978, 0.441757, 1.90923, 2.24718, 1004.59, 7343.82, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
