x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
-4.10653e-05, -0.150005, 2.03074, 0.05, -0.000320901, 0.000324894, -2.13785, 2.13785, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0499589, -0.150004, 2.03072, 0.05, -0.000321076, 0.00036138, -2.13827, 2.13827, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0249784, -0.149858, 2.07403, 0.05, 4.04343e-05, 0.0026352, -2.13807, 2.13807, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0250203, -0.149859, 2.07405, 0.05, 4.06286e-05, 0.00259884, -2.13765, 2.13765, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0500411, -0.150005, 2.03076, 0.05, -0.000320687, 0.000288653, -2.13744, 2.13744, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0250645, -0.150151, 1.98745, 0.05, -0.000682216, -0.00198529, -2.13764, 2.13764, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0249342, -0.15015, 1.98742, 0.05, -0.000682449, -0.00194918, -2.13805, 2.13805, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0999589, -0.150003, 2.0307, 0.05, -0.000321251, 0.000397867, -2.13869, 2.13869, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0865831, -0.149834, 2.0807, 0.05, 9.61272e-05, 0.00303471, -2.13859, 2.13859, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0499978, -0.149711, 2.11732, 0.05, 0.000401769, 0.00494551, -2.13829, 2.13829, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
5.35257e-06, -0.149667, 2.13074, 0.05, 0.000513783, 0.00561828, -2.13787, 2.13788, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0499995, -0.149713, 2.11737, 0.05, 0.000402158, 0.00487278, -2.13745, 2.13746, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0866188, -0.149837, 2.08078, 0.05, 9.68004e-05, 0.00290875, -2.13714, 2.13714, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.100041, -0.150006, 2.03079, 0.05, -0.000320473, 0.000252412, -2.13702, 2.13702, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0866699, -0.150175, 1.98079, 0.05, -0.000737861, -0.0023845, -2.13712, 2.13712, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0500879, -0.150298, 1.94416, 0.05, -0.00104353, -0.00429548, -2.13742, 2.13742, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-9.67484e-05, -0.150342, 1.93074, 0.05, -0.00115558, -0.0049685, -2.13783, 2.13784, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0499094, -0.150296, 1.94411, 0.05, -0.001044, -0.00422324, -2.13825, 2.13826, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0865321, -0.150172, 1.98069, 0.05, -0.000738668, -0.00225939, -2.13857, 2.13857, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.149959, -0.150002, 2.03068, 0.05, -0.000321425, 0.000434353, -2.13911, 2.13911, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.140935, -0.149829, 2.08198, 0.05, 0.000106812, 0.00314334, -2.13904, 2.13904, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.114908, -0.149677, 2.12711, 0.05, 0.000483464, 0.0055124, -2.13883, 2.13884, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0750172, -0.149565, 2.16061, 0.05, 0.000763104, 0.00725581, -2.1385, 2.13852, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.026074, -0.149505, 2.17845, 0.05, 0.000912004, 0.0081633, -2.1381, 2.13811, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.026019, -0.149506, 2.17847, 0.05, 0.000912207, 0.00812541, -2.13766, 2.13768, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0749788, -0.149567, 2.16068, 0.05, 0.000763687, 0.00714673, -2.13725, 2.13726, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.1149, -0.149681, 2.12721, 0.05, 0.000484358, 0.00534527, -2.13691, 2.13692, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.140969, -0.149833, 2.08211, 0.05, 0.000107908, 0.00293832, -2.13669, 2.13669, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.150041, -0.150007, 2.03082, 0.05, -0.00032026, 0.000216171, -2.1366, 2.1366, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.141022, -0.15018, 1.97951, 0.05, -0.000748504, -0.00249287, -2.13667, 2.13667, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.114999, -0.150332, 1.93438, 0.05, -0.00112518, -0.00486206, -2.13688, 2.13688, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0751114, -0.150444, 1.90088, 0.05, -0.00140485, -0.00660567, -2.1372, 2.13721, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0261698, -0.150504, 1.88303, 0.05, -0.00155379, -0.00751339, -2.13761, 2.13762, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0259231, -0.150503, 1.883, 0.05, -0.00155403, -0.00747576, -2.13804, 2.13806, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0748846, -0.150442, 1.90079, 0.05, -0.00140555, -0.00649731, -2.13846, 2.13847, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.114809, -0.150328, 1.93425, 0.05, -0.00112625, -0.00469605, -2.13879, 2.1388, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.140882, -0.150176, 1.97935, 0.05, -0.000749818, -0.00228923, -2.13902, 2.13902, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.199959, -0.150002, 2.03066, 0.05, -0.0003216, 0.000470839, -2.13952, 2.13952, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.193697, -0.149834, 2.08039, 0.05, 9.35644e-05, 0.003099, -2.13948, 2.13948, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
