Time,x,y,z,q0,q1,q2,q3,Vx,Vy,Vz,Fx,Fy,Fz,Tx,Ty,Tz
0,0.5,0.5,2.35,1,0,0,0,0,0,0,-0.0170937,3.52875e-06,-2.76078,0.0133795,0.00268848,-0.000131241
0.0001,0.5,0.5,2.35,1,3.67964e-11,7.39385e-12,-3.60939e-13,-4.57052e-08,9.43519e-12,-0.000694082,0.00014219,-2.5217e-05,0.018598,-0.000137344,-2.57131e-05,1.12365e-06
0.0002,0.5,0.5,2.35,1,1.29712e-10,2.60685e-11,-1.27285e-12,-7.41306e-08,-3.85734e-11,-0.00167968,-6.31414e-05,-6.6696e-05,-0.0170392,5.75599e-05,1.19396e-05,-1.00273e-06
0.0003,0.5,0.5,2.35,1,2.48442e-10,4.99377e-11,-2.43972e-12,-7.79766e-08,-2.17039e-10,-0.00266132,-0.000155136,-0.000106397,-0.03435,0.00013865,2.92448e-05,-2.11358e-06
0.0004,0.5,0.5,2.35,1,3.70714e-10,7.45259e-11,-3.6449e-12,-7.83672e-08,-5.47191e-10,-0.00364242,-0.000210076,-0.000145416,-0.0456612,0.000182638,3.98959e-05,-2.8907e-06
0.0005,0.5,0.5,2.35,1,4.93935e-10,9.9318e-11,-4.86523e-12,-7.90563e-08,-1.02805e-09,-0.00462357,-0.00026488,-0.000184,-0.0569265,0.00022661,5.05195e-05,-3.66265e-06
0.0006,0.5,0.5,2.35,1,6.18542e-10,1.24413e-10,-6.10756e-12,-7.99636e-08,-1.65724e-09,-0.00560477,-0.000318893,-0.000222035,-0.0680333,0.000269893,6.09952e-05,-4.42242e-06
0.0007,0.5,0.5,2.35,1,7.44879e-10,1.49894e-10,-7.37785e-12,-8.10786e-08,-2.43272e-09,-0.006586,-0.000371872,-0.000259416,-0.078935,0.000312251,7.12775e-05,-5.16686e-06
0.0008,0.5,0.5,2.35,1,8.73277e-10,1.75841e-10,-8.68189e-12,-8.23978e-08,-3.35222e-09,-0.00756728,-0.000423655,-0.000296042,-0.0895988,0.000353537,8.13358e-05,-5.8936e-06
0.0009,0.5,0.5,2.35,1,1.00406e-09,2.02331e-10,-1.00254e-11,-8.39171e-08,-4.41303e-09,-0.00854861,-0.000474082,-0.000331813,-0.0999925,0.000393605,9.11403e-05,-6.60034e-06
0.001,0.5,0.5,2.35,1,1.13754e-09,2.29442e-10,-1.14138e-11,-8.56315e-08,-5.61208e-09,-0.00952997,-0.000523003,-0.000366635,-0.110085,0.000432315,0.000100662,-7.28485e-06
0.0011,0.5,0.5,2.34999,1,1.27402e-09,2.57249e-10,-1.28527e-11,-8.75356e-08,-6.94594e-09,-0.0105114,-0.000570271,-0.000400415,-0.119846,0.000469535,0.000109874,-7.94502e-06
0.0012,0.5,0.5,2.34999,1,1.4138e-09,2.85825e-10,-1.43471e-11,-8.96234e-08,-8.41078e-09,-0.0114928,-0.000615746,-0.000433065,-0.129248,0.000505137,0.000118749,-8.57883e-06
0.0013,0.5,0.5,2.34999,1,1.55717e-09,3.15239e-10,-1.59022e-11,-9.18883e-08,-1.00025e-08,-0.0124743,-0.000659298,-0.000464502,-0.138262,0.000539002,0.000127263,-9.18436e-06
0.0014,0.5,0.5,2.34999,1,1.70439e-09,3.45559e-10,-1.75227e-11,-9.43232e-08,-1.17165e-08,-0.0134558,-0.000700803,-0.000494647,-0.146864,0.000571017,0.000135392,-9.75982e-06
