x,y,z,absv,wx,wy,wz
-12.0686,-95.1828,-43.4308,12.7963,-4.19814,-12.456,-0.134669
-12.1926,-95.7246,-49.0667,17.7437,8.51442,-17.7591,-5.45902
-12.1678,-97.0714,-44.0126,13.5958,2.32735,1.43743,-2.14134
-11.233,-97.3378,-45.7079,11.4091,-17.5309,2.05345,8.11398
-11.5904,-96.0909,-47.1603,14.0324,14.7173,-9.30785,-15.7624
-10.2061,-99.0548,-49.0565,15.8458,-10.6059,17.7935,-0.442764
-10.5367,-96.0813,-44.3604,14.4105,0.730075,3.61075,-4.95283
-12.1487,-99.07,-49.0272,15.6342,-10.2189,-10.4438,-4.43486
-10.6003,-97.5757,-43.0276,20.3668,7.34782,5.19794,-4.39098
-12.1093,-97.9846,-47.3727,14.5475,9.86517,25.3446,-5.42785
-12.1112,-99.0592,-45.7136,14.5933,26.7064,-17.8414,14.3811
-12.0908,-99.0312,-43.729,12.5287,-4.10857,2.74257,14.4456
-12.1506,-95.6241,-45.3543,13.2773,-3.13553,12.8992,1.91254
-11.2019,-97.3792,-49.0304,19.7576,-2.32586,5.35291,4.44485
-12.1551,-93.815,-46.2122,19.0699,1.5735,10.0196,10.006
-9.30882,-97.4917,-41.5924,12.1741,5.7357,1.97848,13.5386
-12.108,-93.925,-41.9116,13.8115,0.736311,40.9242,36.7079
-12.0826,-99.0071,-37.8241,16.3685,-0.510771,2.41087,-1.05068
-9.23506,-95.881,-40.4141,11.5178,18.9777,4.06872,-1.21455
-10.5946,-95.7666,-42.1666,16.8464,11.5194,-5.25555,2.5096
-12.0985,-98.8309,-39.7992,14.9003,1.82909,-3.16964,-3.78438
-9.1632,-95.09,-43.4111,12.6099,-8.14359,-1.89549,2.58081
-10.3797,-99.009,-38.853,14.0865,-7.80879,-5.05905,-7.46619
-10.9462,-94.2029,-44.7375,17.2081,12.6769,-1.66524,-5.73268
-10.3396,-93.6916,-42.7211,18.3989,-6.73614,20.9208,10.1663
-12.0959,-95.5446,-40.6939,14.3912,13.9038,-0.327098,-7.10182
-10.1997,-97.507,-47.3517,14.3037,1.49509,-9.67904,10.1578
-12.0921,-99.0382,-41.7584,17.0422,-15.6531,-1.41122,0.1956
-10.3275,-99.0261,-40.851,21.3692,10.5998,-2.30809,4.50159
-10.8572,-97.1821,-40.416,22.16,7.8368,15.6675,4.09338
-12.1214,-97.0708,-41.9332,17.7068,14.33,-11.8909,-1.98632
-10.1367,-97.0307,-35.0421,19.8027,4.78248,2.36087,3.37591
-10.2124,-99.0249,-35.0821,15.2408,-4.3549,3.16401,-9.12045
-12.0749,-98.8831,-35.849,18.9953,-3.36699,15.0834,0.366804
-10.9545,-93.7794,-38.0956,20.4247,0.0645118,3.84487,7.17275
-12.1315,-97.0415,-38.9261,14.9391,0.693856,-1.78613,1.88537
-9.68972,-99.0223,-36.9994,15.3611,0.242803,0.693197,0.808135
-10.5068,-95.771,-36.5377,19.3977,1.16746,-5.47414,-4.49397
-12.0171,-98.892,-33.8593,17.7844,1.5336,-2.2522,-5.8203
-8.84652,-96.7827,-37.2035,10.1042,14.4437,6.29474,0.130484
-9.27448,-97.3175,-39.0616,14.7067,-6.87685,-0.0157515,0.91001
-10.7841,-95.6222,-39.2015,14.9476,-4.71502,11.1557,1.33238
-9.37749,-95.0067,-37.9755,16.2373,1.71454,-4.12347,-9.29478
-10.6639,-97.4383,-37.6798,16.8494,4.57005,-4.30543,11.8592
-12.0699,-96.7401,-34.4195,13.8462,-2.10114,6.64801,1.04598
-7.61544,-94.3835,-37.337,10.743,-4.40184,7.80077,10.098
-12.0832,-96.9684,-36.3902,15.1478,-5.90044,-1.97896,-6.07129
-12.1424,-90.9382,-49.0431,13.0461,-20.1372,1.38996,10.421
-11.4867,-94.3129,-47.9647,16.8048,-7.55124,-7.67192,-11.2156
-12.2155,-87.9585,-49.0788,13.34,16.3005,20.5891,1.2765
-12.1061,-89.0331,-47.428,14.1648,16.1452,-16.7607,-6.92983
-12.108,-92.8783,-49.0679,19.4065,13.9816,-2.3897,2.19069
-12.08,-86.8285,-43.4715,9.98514,-2.90828,12.9337,6.68431
-12.1977,-91.9334,-47.3612,12.7003,13.0247,1.83323,10.0232
-12.0266,-88.4767,-45.5508,16.5667,-4.87283,6.32175,-13.6946
-12.1112,-88.8074,-43.6209,16.8923,16.7582,-10.9109,10.6523
-10.3886,-91.9022,-49.0094,15.3383,2.78802,-0.163207,6.61174
-11.0181,-89.3981,-49.0431,14.3144,-5.03896,-11.3847,-0.570159
-10.5342,-87.0924,-49.0603,14.1949,22.0603,-10.4878,7.9562
-10.5564,-89.6258,-44.7642,20.3342,-32.8415,-11.3735,-20.2805
-12.1335,-85.9999,-49.0673,18.7405,-6.42198,3.30415,4.46863
-10.6168,-92.7524,-46.7387,17.1004,5.12194,-20.7503,3.72135
-10.1552,-88.7718,-47.2334,15.3863,-7.17429,-2.71869,-6.12808
-10.84,-90.5675,-47.4922,12.8311,-7.02155,9.58293,-3.74184
-12.1258,-90.7729,-43.846,19.4612,-22.4349,5.41206,0.315107
-12.0756,-90.7411,-39.6116,17.0935,3.31143,6.46424,11.1437
-10.1838,-87.9324,-41.8525,14.3346,4.84771,-5.91073,26.0332
-12.1017,-87.0256,-47.3911,13.0783,-8.35938,-10.6211,17.4035
-11.1192,-91.9417,-45.0364,11.8582,-0.691831,1.31482,-10.1633
-12.0832,-90.4314,-45.9692,14.7898,-11.3631,3.50435,2.12204
-12.1239,-90.3532,-41.546,14.3338,-11.9716,-6.9025,-2.08596
-12.0819,-90.6483,-36.6452,16.1877,8.43735,-9.15685,-8.96427
-10.5075,-90.6852,-38.3805,14.3249,3.60877,-13.5546,-2.2266
-11.0264,-91.8342,-42.5106,11.8289,1.47708,2.2569,-1.45689
-9.28529,-92.7213,-38.282,18.1973,1.14196,-5.28061,2.23032
-10.4986,-94.3835,-40.7448,14.5837,2.96448,-7.28422,-4.34888
-12.0908,-92.9922,-43.6832,15.2289,-2.01969,-17.3149,12.8841
-10.3014,-90.7265,-40.926,17.3943,0.444495,3.15784,0.20669
-10.7726,-92.2978,-39.499,14.4995,6.10453,6.52342,3.96722
-12.0826,-89.3822,-38.1688,16.9346,-3.53983,4.01513,-1.83977
-9.20008,-90.4276,-36.9046,14.0656,0.520862,2.43162,1.84028
-10.6245,-90.598,-35.2901,21.0267,1.88534,-3.9848,-0.526899
-12.0896,-92.0466,-38.0518,16.1289,-5.48,-11.2322,-1.6633
-11.1599,-87.4516,-35.2659,18.9207,0.294469,-8.50617,-7.35159
-9.66301,-93.6611,-36.5371,14.1664,-3.32956,-1.00318,0.942713
-12.1239,-92.2259,-40.9209,16.471,3.07668,4.05166,-12.3627
-10.5393,-91.8953,-36.8156,15.7696,3.8296,0.0202249,-0.181163
-9.22933,-89.1189,-35.3022,19.3017,0.46706,3.28983,4.091
-10.7059,-89.1641,-36.6553,12.8704,-1.82348,6.01928,2.98384
-12.0788,-89.2118,-35.2176,14.0766,-2.08396,9.9121,-6.49921
-12.0832,-95.4187,-37.6963,11.7274,4.73042,14.1296,3.59855
-10.2538,-94.6646,-34.8583,21.1102,-6.45495,1.62143,4.2468
-12.0508,-93.1658,-36.4169,15.2917,0.388732,1.2676,1.68251
-10.5545,-92.6774,-34.9899,16.4123,6.82825,-2.62378,0.768977
-7.7954,-91.0139,-38.1694,13.4721,-2.57503,-9.49355,-3.38669
-12.0813,-94.9984,-35.5807,21.1096,2.0379,4.96288,12.7666
-12.0769,-85.8988,-36.3094,14.584,0.266513,-2.76257,2.77335
-12.0953,-93.8131,-39.7095,17.8881,-17.3298,-1.57316,-19.8672
-10.6226,-80.4899,-45.4116,19.4259,-12.7331,-6.07585,9.4882
-9.16892,-81.3216,-44.3687,18.8178,-1.50706,-4.98245,4.65182
-12.1106,-81.4463,-47.014,14.1907,-21.0119,3.36733,-1.91848
-12.1646,-82.3823,-48.7589,14.1732,-4.61181,-7.91987,5.16777
-11.2235,-86.667,-45.6583,8.79796,18.9687,-5.38038,-6.48186
-10.9977,-83.0163,-47.3033,5.83867,-5.01157,14.2296,-8.87314
-10.6003,-79.049,-44.0762,14.2769,-5.50487,14.2571,10.4371
-10.4795,-81.541,-49.0476,12.6017,-7.54535,5.49258,4.07682
-12.1379,-84.2569,-48.3087,10.0397,12.8895,-1.37757,18.4253
-12.1163,-80.2699,-43.7436,13.6998,3.94933,5.21725,-3.01067
-10.6696,-85.5071,-47.8337,14.2557,11.8297,-5.99663,18.2475
-12.0839,-83.0481,-42.6989,17.2999,8.37208,-8.06741,3.76582
-12.1563,-85.2502,-46.6147,13.6465,13.5706,0.201725,-2.72719
-10.9183,-83.7609,-44.1302,22.713,15.5853,14.704,-0.437615
-12.1099,-80.4467,-49.0533,13.2696,20.5011,31.5291,31.221
-12.1061,-83.5409,-45.6945,16.1761,-11.5103,32.9947,8.47018
-12.1169,-81.707,-45.0707,19.3606,10.6739,-7.98703,-0.339438
-12.1144,-85.2273,-44.6472,16.3876,14.5705,-5.78852,-10.866
-10.4483,-84.5183,-46.0761,10.837,15.1702,-0.82795,9.5275
-10.1329,-81.2237,-47.1482,12.707,3.0523,-9.41284,1.71633
-11.4988,-86.4883,-41.5981,13.273,3.17022,-8.58746,0.475809
-12.1144,-85.8969,-39.8125,14.4455,-5.6717,-6.69547,6.74203
-12.1296,-84.1921,-40.926,17.3803,-13.3671,-4.63937,-5.78138
-10.723,-82.8662,-40.7511,12.9923,-1.77935,0.958365,-4.79115
-8.96607,-83.7075,-40.6061,14.2368,-0.73959,0.202883,0.367991
-9.31136,-82.8872,-43.1637,19.3122,-1.11934,4.11278,-1.11579
-10.5005,-85.6114,-43.5554,11.7396,3.98916,2.83142,-0.180649
-10.2824,-82.4599,-45.5489,19.042,-3.16634,-1.84179,3.6265
-10.8229,-81.6612,-43.301,18.6552,-4.16216,7.53241,-4.50924
-12.1411,-85.0105,-42.7008,14.1194,0.109363,8.62691,12.3282
-12.1411,-81.6301,-41.2827,15.6189,-8.20674,7.07622,6.33892
-11.1027,-80.1624,-42.0604,19.1549,10.242,-11.3182,-5.21771
-10.3828,-84.3008,-42.0655,19.0092,-11.2802,-1.5515,-2.71867
-12.0908,-88.3788,-41.5689,12.8308,8.63224,6.81915,9.85768
-12.1106,-79.8197,-40.3899,12.3146,-9.99258,-4.57,11.59
-10.4668,-84.9081,-40.1795,20.9644,-0.195539,-5.81325,-1.31446
-10.6302,-80.6908,-36.6776,15.8171,-0.781452,-2.61495,-1.72161
-12.0718,-84.0077,-35.6379,14.6079,-10.0043,-2.32085,-2.07718
-12.0985,-81.4202,-37.798,16.7876,1.79571,13.5343,-20.1637
-10.1304,-84.6798,-38.0282,16.3458,4.01855,6.27177,-1.56441
-12.0896,-79.4012,-37.5049,12.8335,2.13165,-2.0865,3.66145
-10.3606,-84.9348,-36.0735,14.5711,2.00391,2.15533,-1.33992
-10.2817,-83.0068,-35.3206,19.1784,-1.92151,-2.64043,2.43582
-12.0921,-83.1072,-39.258,13.7214,5.19604,1.11258,-9.57199
-8.5095,-84.2455,-35.8694,14.7006,4.9798,-3.14915,-2.98717
-8.48216,-85.5675,-37.3612,19.8082,10.0174,2.72094,-0.486497
-12.1042,-84.5621,-37.9195,16.0757,0.462782,-0.526552,-4.5604
-12.1106,-87.8484,-39.5029,16.485,-3.09817,-5.66929,-4.0695
-12.0743,-81.789,-35.8427,11.8792,0.892173,0.580262,-2.44622
-9.94217,-79.8953,-34.8876,20.3779,-0.222245,4.71047,0.0666118
-12.0851,-87.7734,-36.9968,14.7935,-4.80938,-3.86976,-9.57344
-11.1472,-83.0188,-37.1214,14.3604,8.10329,2.78955,-8.52894
-10.5367,-88.1448,-38.3341,14.7651,0.893724,8.32267,3.16554
-11.2432,-86.3236,-38.0651,13.8887,-3.23914,-4.66588,-11.8364
-10.4801,-78.7132,-36.4315,18.0789,-1.60259,-4.87387,-2.73533
-10.4757,-77.5241,-49.0578,15.268,-12.8037,6.13843,-0.513576
-10.2525,-79.2054,-47.0992,16.6395,2.96225,-1.778,-4.94267
-12.1335,-78.4919,-48.9878,15.1561,0.864874,-23.4446,-9.72714
-12.0839,-77.5139,-47.2677,17.7822,10.7041,5.47424,18.4686
-12.1424,-79.5182,-47.3173,13.4996,2.96158,-16.9299,-4.04767
-10.4935,-75.4435,-49.0565,9.2087,6.09073,-15.2219,3.69552
-10.3491,-75.8574,-46.5524,11.6821,12.8933,-6.60666,-2.08057
-9.06146,-79.309,-45.5362,21.751,-3.88176,-4.93771,-8.09455
-10.7052,-74.4572,-45.1954,13.6746,-1.24025,3.40404,-0.84257
-12.0966,-79.1672,-45.3779,15.8373,-4.94695,18.7875,-21.1131
-8.87514,-76.4768,-49.0203,8.62735,26.1388,-10.1805,5.53537
-10.3727,-79.5513,-49.0355,11.3802,7.73595,3.39955,-40.4566
-12.1379,-76.5118,-49.0374,14.9918,12.3155,11.8858,9.75856
-9.38894,-75.5077,-42.7141,9.21443,-2.11038,12.2927,2.33906
-12.1176,-75.5242,-47.3313,15.0495,-15.2134,3.67088,5.11398
-9.70752,-77.6017,-43.1198,15.2084,20.4928,24.02,11.8025
-12.122,-73.5498,-47.3905,19.3395,14.4802,-1.01092,-0.395043
-12.08,-77.5069,-44.2994,4.08043,10.2722,-10.6125,4.14282
-10.7542,-77.7727,-45.8135,17.0323,7.20501,-9.33127,-16.5036
-9.82135,-81.155,-40.9457,16.1698,-1.75463,4.15274,8.44596
-12.1277,-78.1714,-39.2663,15.1143,-6.3623,3.52936,-6.21157
-9.28211,-77.8789,-39.5734,16.2497,4.51452,6.39222,-10.5211
-12.1144,-74.9888,-39.8564,18.5423,3.77293,9.52495,-15.4929
-10.6016,-76.1665,-44.1252,9.34832,7.34515,-2.48028,10.6231
-9.46652,-76.733,-41.1702,12.2246,-0.748166,5.6005,6.57618
-10.6296,-78.6058,-40.9088,5.46509,9.3993,-0.105536,-2.69265
-12.122,-78.6229,-42.6652,12.3502,-2.51696,9.58656,9.54831
-11.2184,-77.0478,-41.9905,13.1751,15.2915,-2.42699,10.6681
-12.0997,-75.8288,-45.3683,10.4367,17.6524,-0.469038,-0.248366
-9.57653,-75.9801,-39.0832,17.1565,6.72532,-0.829383,8.81111
-10.7688,-79.5405,-38.9725,13.45,9.1019,-5.27895,-12.257
