x,y,z,absv,wx,wy,wz
22.922,-95.5421,-37.7287,14.993,6.51285,4.75906,0.548997
22.8705,-95.7939,-49.0826,12.9439,-7.20237,19.8045,-4.38747
22.9029,-97.5172,-39.6695,16.0281,13.2991,-12.3748,25.5697
22.8609,-97.6545,-42.9545,26.3943,-5.69643,15.6693,-32.3848
22.7904,-95.8944,-44.5639,16.7148,9.59824,8.42626,16.3903
22.8807,-98.8487,-49.0368,18.4875,4.8453,10.3998,2.17844
22.8959,-96.4972,-41.3743,17.7573,-6.30108,-5.07207,-7.51243
22.8565,-99.0853,-47.0789,15.1335,6.99351,8.92297,11.273
23.6514,-97.369,-37.7999,11.213,-18.3149,15.7114,17.8889
22.8336,-99.0497,-45.1184,13.5148,5.89574,-8.63537,-7.88006
22.9722,-99.0172,-41.5244,13.0647,8.32702,-3.25704,-20.1012
22.8877,-99.0548,-38.3869,16.9695,17.1625,10.3814,15.3012
22.8883,-94.6137,-42.3046,21.0288,23.954,-26.6489,-14.0464
22.7433,-97.2628,-47.8617,15.5562,7.38466,-7.143,1.99012
23.2425,-92.7461,-42.7186,8.07139,17.8873,-14.7077,8.97241
24.7743,-97.521,-35.8891,15.3824,-10.0884,6.23102,-6.26125
22.9347,-94.0706,-36.3037,15.3788,3.96273,3.19512,9.52621
22.936,-99.0128,-30.5215,6.83133,-5.76979,12.2367,-3.3409
25.0134,-96.1004,-34.466,9.54525,-10.5334,-1.92452,12.8376
24.0736,-95.6871,-36.1365,12.1298,-0.64627,5.08891,-12.3158
22.9258,-98.9975,-33.4784,14.0068,-2.96248,6.0712,23.7718
24.1811,-96.089,-39.1658,18.8957,10.1136,2.8263,-11.5903
24.2319,-99.0382,-32.0184,16.492,-7.22945,-8.41872,-1.7157
22.859,-94.8566,-39.9321,19.2485,1.63895,13.8051,0.708487
22.8896,-93.6713,-38.3602,15.1714,9.00605,12.2581,10.1051
22.9201,-95.2051,-34.6307,13.1527,1.58346,7.69465,-15.0388
22.9061,-97.2698,-45.9432,12.5957,12.121,-9.18229,-49.3199
23.1077,-99.0497,-35.4554,16.05,-8.10307,21.8308,-5.46866
24.74,-98.8284,-34.3451,13.6543,3.0317,0.212309,-1.8954
23.1108,-97.1115,-34.0545,3.14257,0.922534,6.67151,3.22995
22.8559,-97.191,-36.0093,13.262,-5.45844,-2.04568,-0.226161
24.457,-97.3169,-28.0918,15.0526,-0.471287,-2.76099,3.46089
24.3686,-99.0026,-29.1658,17.1067,0.131791,-3.50208,4.14381
22.9614,-98.6357,-27.7821,12.776,-3.70716,4.49984,-4.43267
