x,y,z,absv,wx,wy,wz
61.9988,-96.0635,-26.621,15.5086,4.14203,-8.28652,-3.20859
61.9066,-95.8416,-49.1277,19.1601,2.92526,-25.4067,-15.3631
61.9301,-99.0974,-33.2101,18.8186,10.6292,-23.1826,37.0369
62.0357,-97.3181,-40.0434,52.6938,-51.9888,0.69608,48.4924
61.9524,-95.2439,-41.8945,24.5028,-28.0193,20.4503,22.3129
61.9371,-99.042,-49.0527,22.153,3.46131,-28.1862,-39.52
61.9937,-97.5477,-38.0626,11.1841,-89.3302,72.407,25.0907
61.9568,-99.1018,-45.7524,28.2389,-22.1375,-36.8251,-38.1634
61.9969,-96.9544,-28.3398,18.0432,-2.12277,-19.9571,22.1432
61.8653,-97.7798,-44.0953,9.36818,19.0545,-27.5326,-17.2945
62.0446,-99.1349,-38.9814,10.9311,21.3669,-27.6886,-59.1716
62.0382,-99.0166,-30.8592,12.8408,-3.11117,9.50526,-10.5074
61.9791,-94.0344,-36.8779,23.1459,-28.7689,-27.5737,0.635023
61.9816,-97.479,-47.3955,17.9627,7.65152,20.9037,-26.7705
62.0153,-92.3645,-36.0621,19.612,14.7107,5.73626,-17.1887
63.5459,-97.231,-22.8718,17.7382,5.5912,-8.46641,-4.50013
62.0287,-94.4579,-22.1621,17.8274,-8.0454,9.79471,-11.0431
62.112,-99.0497,-12.6466,19.4011,1.90899,6.26973,-0.873631
63.0964,-95.8937,-21.4868,19.6456,7.55368,-11.2741,9.32902
62.0147,-96.1386,-23.2215,24.1664,-6.82239,-2.58089,-13.3543
61.9524,-99.07,-20.2137,13.8277,-3.71288,-1.51108,-2.68353
62.0122,-97.5108,-32.1068,15.9429,-9.84531,-20.2999,-45.4988
62.0013,-98.9149,-16.6464,18.8601,14.0747,3.86463,-0.170237
61.8958,-93.6916,-31.3469,21.6572,-10.0154,16.4638,-11.3642
62.0471,-94.9965,-28.2857,20.1098,15.3286,-14.5775,-14.9123
62.0306,-95.5287,-19.9047,19.4056,0.623264,10.2559,-3.18286
61.9091,-95.9732,-46.1581,23.2366,-56.3498,43.1136,0.456758
62.03,-98.3858,-23.4288,16.8008,-10.0074,6.27062,-10.562
62.9902,-99.0707,-21.8499,15.2847,0.235827,3.57322,-2.28764
61.9912,-97.4498,-21.6839,20.1396,-3.49165,12.9233,-9.33739
62.0929,-97.1522,-24.9785,16.2404,8.75993,21.861,-5.654
62.1476,-97.2139,-7.80939,17.323,-2.48488,1.34919,0.200692
62.0878,-99.0331,-10.6614,19.3384,-1.42799,13.3574,-7.09672
62.0745,-99.0058,-8.68946,19.2711,6.81277,9.35173,4.81906
