x,y,z,absv,wx,wy,wz
71.4259,-92.9655,2.04566,29.8693,6.38031,-10.4134,-1.81635
71.3388,-92.9108,-12.218,31.97,3.87743,-7.70913,0.670059
71.4323,-90.1332,-0.694393,21.1687,-6.51106,-4.23852,0.220282
73.1829,-87.9597,1.04413,27.8128,-7.35857,1.65731,9.14551
72.3861,-90.5414,-2.69173,28.1032,2.0482,1.74801,-4.08828
71.4132,-86.7413,-4.38892,21.2134,2.58005,-1.93943,-24.1176
71.4304,-96.0934,-3.81535,25.6188,4.79777,-18.6029,7.06602
71.4532,-89.9329,3.8694,30.2194,-3.0532,7.09578,4.89451
71.4157,-91.2816,-4.24776,35.9859,8.25714,-5.35215,-8.37456
71.4335,-89.2849,1.19166,27.4697,14.1868,-21.7212,3.43232
72.8662,-91.2486,-5.58567,22.3834,-16.3507,8.72675,-25.5185
71.4304,-91.6949,0.520158,26.4678,-15.1658,3.24911,14.0218
71.4075,-85.7455,-6.23174,15.5415,-12.1488,-29.334,2.88252
71.4024,-93.5543,-7.96263,24.0859,-13.2206,-20.5391,4.11919
72.3791,-80.7392,-19.6465,22.3487,-2.79053,5.39909,0.864433
71.9842,-82.4319,-18.7022,17.3966,-2.71698,-4.38153,-12.9606
71.2987,-81.5677,-24.8659,24.2353,-1.22834,1.81923,-19.4953
71.2612,-80.8517,-38.1987,10.1865,48.5821,46.6346,64.363
71.3337,-86.4825,-27.253,22.0754,3.48574,4.46214,5.29946
71.3642,-82.87,-27.2823,27.7811,-18.8133,13.4571,7.5279
71.2981,-79.2416,-19.2529,25.6266,5.73452,16.7039,-17.0258
71.2663,-81.4914,-42.0668,21.0335,-28.1219,-20.2553,-59.4118
71.3572,-82.3041,-36.8506,27.0774,19.2007,-37.2969,53.2476
71.4132,-80.7086,-17.9391,20.4928,-15.8266,-9.87771,2.96381
71.1556,-84.8985,-43.2712,21.6702,41.0557,-2.09063,13.94
71.3973,-84.2499,-16.7761,22.09,-9.47794,10.4069,1.91015
71.2987,-84.0013,-28.9293,23.2872,-18.7796,16.7039,3.71829
71.3032,-83.8646,-20.0624,14.5767,5.67283,-23.6577,7.38158
71.3356,-80.6508,-47.3949,32.0389,-12.0262,12.2528,7.35352
71.3591,-82.8204,-22.2696,19.899,-13.0738,0.598747,10.3289
71.3223,-82.0249,-20.491,17.8117,1.93517,-10.2128,6.09505
71.2746,-84.9074,-22.653,23.7978,-24.7205,-23.8803,-8.43165
71.382,-83.4455,-24.1289,24.7851,33.9775,14.6977,-5.68217
71.2498,-80.9318,-28.6787,16.496,-4.87214,-1.88498,20.9576
71.417,-87.9146,-14.4659,20.4403,-22.3483,9.71226,12.5387
71.3553,-86.1697,-13.6793,17.8012,6.06081,6.82845,8.26157
71.3687,-84.2671,-13.3009,26.5693,5.40641,-2.36168,14.0582
72.2328,-83.4977,-11.7106,30.6927,-13.9815,18.9235,1.53327
72.0955,-85.488,-11.956,25.7833,4.55449,-20.4,-7.66792
72.2964,-84.3498,-18.4949,15.9178,-4.35223,-10.9781,39.7029
71.3941,-85.701,-19.581,19.8235,-3.63108,3.13756,-7.07523
72.7867,-83.1447,-21.0321,20.4446,16.0176,4.91185,11.6108
71.4405,-82.2914,-16.799,13.8907,-4.55089,9.56965,11.5238
71.3897,-86.4743,-15.7618,32.3935,17.4527,-19.7712,-11.8726
71.3547,-83.0786,-14.8487,25.4676,5.18751,-15.2246,-3.96819
71.3827,-81.1493,-15.1845,13.1207,-25.2788,42.5754,18.2762
72.1559,-84.826,-15.0783,35.478,-9.7089,0.448796,4.12419
71.3509,-89.4954,-13.32,15.3504,-0.735809,8.8354,19.6117
71.4335,-81.2561,-9.60005,23.5227,11.9137,-22.6744,-33.6436
72.5622,-86.8647,-10.6099,33.3801,17.9833,18.316,-6.49386
71.4679,-81.0775,1.5166,20.303,-4.11725,-0.809797,-7.41365
71.4373,-85.3462,-2.98996,21.8822,21.4431,16.2158,1.36893
71.4889,-82.0192,-3.83824,23.9495,7.53627,6.44829,11.2041
71.4202,-83.9256,-4.38638,28.1802,6.97512,12.5823,-16.8502
71.3801,-80.0461,-3.63031,21.5511,3.02516,-18.5065,-6.43008
71.4259,-86.2625,-0.643524,28.9198,10.1869,-21.1638,-11.5017
71.4354,-85.3723,2.61415,30.3322,7.05166,3.19205,-10.0656
