x,y,z,absv,wx,wy,wz
-63.2464,-95.137,-47.4528,13.4029,-4.0545,4.5482,-0.836966
-63.2782,-93.3623,-49.0107,14.1812,-5.13414,-1.88037,-4.12588
-62.7886,-97.3391,-47.3542,9.30946,-2.03935,-8.8802,12.7914
-61.5359,-97.2323,-49.0489,16.6129,3.64491,3.12553,-5.47746
-60.2075,-95.1879,-49.0101,16.6212,10.002,-4.06316,2.41732
-58.3965,-99.0389,-49.0355,14.1891,-1.57952,0.918425,-1.13944
-61.4303,-95.8632,-47.449,16.439,-4.51388,-4.47763,-0.0798824
-60.3665,-99.0478,-49.0203,12.3772,14.0179,11.336,-14.4765
-60.7251,-97.6742,-47.3173,13.9129,-1.51347,7.77094,2.33147
-63.2865,-96.3688,-49.0158,14.6295,3.7119,-5.59036,-0.0914188
-63.2439,-98.3139,-49.0641,14.9914,-7.12584,4.00864,-1.7865
-61.9549,-99.077,-47.861,13.5176,5.0039,-4.76811,-2.31757
-62.0802,-94.868,-49.04,16.5271,-1.41949,3.68991,2.07402
-59.5722,-97.2679,-49.0374,12.5657,5.65972,3.62918,7.88881
-61.885,-93.7279,-47.428,19.0046,4.25289,-7.12916,-3.99029
-59.5824,-98.5225,-45.264,16.5537,-1.09365,-1.22437,2.38861
-61.6739,-95.0009,-45.5903,14.4595,-1.10165,3.13283,-3.5078
-63.2254,-97.2927,-43.4066,12.8387,-6.68016,-4.02531,-6.11435
-59.9805,-95.2687,-44.3668,10.2559,-2.98288,-3.72386,-0.040655
-60.4161,-96.714,-45.6284,8.91758,7.51498,6.86945,4.52566
-63.2261,-99.016,-44.3948,16.1181,-4.55631,2.24608,-0.943188
-58.5383,-95.7335,-45.7295,23.4758,-5.29697,0.380172,7.15678
-61.2879,-99.0255,-44.0323,15.9377,-4.75718,-1.8384,-0.731915
-60.2113,-94.4757,-46.7711,16.229,-1.598,-9.41624,-6.65832
-59.0254,-93.8525,-45.3423,15.3068,-4.16498,8.92727,2.158
-63.2401,-95.8734,-44.8145,10.4503,0.107083,6.6059,3.92212
-59.4756,-96.1538,-47.4146,15.4439,9.75548,6.17405,7.83316
-63.2312,-99.0134,-46.3737,13.333,0.315192,5.44191,-11.2022
-61.2911,-99.0579,-46.0138,11.3217,4.50371,1.33373,-6.71694
-61.5956,-96.2505,-43.7837,10.7802,2.80367,-5.55897,7.14699
-62.2055,-97.5102,-45.2036,8.64325,-4.70896,-3.69558,-0.698453
-60.0899,-95.5351,-40.3219,13.257,-7.40568,8.02892,-3.83491
-60.2577,-97.4351,-40.8567,13.7848,8.06757,-1.937,1.62379
-61.7133,-97.7086,-42.1851,13.9917,-6.3395,8.35226,3.57274
-60.3894,-93.8811,-42.1418,17.9038,0.324743,2.92177,4.78254
-63.2197,-95.1745,-42.9717,12.8227,3.16996,4.36501,11.2416
-60.2488,-99.0274,-42.0719,11.6788,-7.30051,6.34002,-4.99859
-59.7999,-95.8569,-42.4388,11.8994,12.5048,8.13053,2.60648
-63.2025,-99.0191,-42.4032,15.5934,-1.34311,4.00949,-8.00875
-58.668,-97.4599,-42.1081,12.5139,10.0536,-9.08807,16.8813
-58.4798,-97.1522,-44.3706,14.4175,-3.40891,3.82293,-0.314993
-61.5626,-94.2779,-43.7201,13.8771,3.97766,0.536211,-2.14698
-58.7424,-94.339,-43.1459,10.105,-9.07365,-3.77429,-3.98226
-60.1643,-97.5362,-43.4149,15.7769,5.2634,12.6515,7.28035
-63.2006,-96.7973,-41.2509,13.0267,-5.96287,1.49483,5.84095
-57.6201,-93.3991,-41.8111,13.4586,6.88693,-5.78926,-0.283882
-61.6732,-95.6674,-41.8391,10.3174,15.7357,0.801211,9.56428
-63.261,-91.4171,-49.0362,14.3182,7.15262,3.30872,-1.25826
-59.6435,-93.3037,-49.0304,14.3015,-0.496571,-2.52764,5.20481
-63.3094,-89.4572,-49.061,13.3706,-4.78759,4.76905,-0.173623
-63.2204,-90.329,-47.3091,11.8535,-2.34104,1.50104,-5.13595
-61.4742,-92.6291,-49.0272,12.5683,4.73565,0.658872,0.636302
-61.6726,-87.4955,-46.5142,14.7036,5.08354,-7.87389,-2.17105
-63.2426,-92.3423,-47.3084,12.04,-2.23295,2.08916,0.314999
-61.3,-89.3008,-47.2951,19.499,5.01258,8.14378,-1.7692
-63.2382,-89.7974,-45.416,15.1351,-1.95559,-9.77206,2.43902
-59.9856,-91.3726,-48.813,15.2293,-4.40462,1.60002,-0.41615
-61.6255,-90.4054,-49.0489,11.6727,4.26036,-0.229074,4.03987
-61.7038,-88.4449,-49.0616,12.1272,6.97479,-5.24423,-1.93143
-59.0654,-90.8632,-47.152,12.9771,10.5165,-0.241988,-5.69666
-63.2261,-87.2176,-49.0209,14.9646,-3.86884,7.10597,1.27975
-60.0625,-92.5833,-47.2448,12.8159,-0.579331,2.09692,-3.31522
-59.9856,-89.4096,-48.8384,15.6833,2.46253,-7.33885,-12.0531
-61.5499,-91.3274,-47.2296,11.3184,2.3728,-2.49908,2.17532
-61.506,-90.9446,-45.2119,14.066,-11.4174,1.6749,2.32433
-63.2242,-90.8181,-43.7271,12.0113,3.86699,1.47375,7.21976
-59.7827,-88.008,-45.4287,13.0189,-5.79256,-17.7165,7.2172
-63.2191,-88.3724,-47.4013,12.6046,-1.73977,-5.05892,0.863385
-61.3286,-92.8485,-45.7422,17.7628,-2.60711,7.15946,-0.647823
-63.214,-91.908,-45.3931,15.4791,-1.87864,-4.57349,-9.70702
-61.4748,-88.9689,-45.2246,13.467,-6.43309,5.14554,-2.66953
-63.1962,-89.8375,-41.918,14.8947,-1.51534,-11.0318,-10.998
-61.595,-89.8852,-43.1001,13.8874,2.57868,8.39662,-10.7809
-59.4063,-91.9245,-45.4758,13.7992,-2.37179,0.749364,-1.854
-58.7691,-92.0994,-42.7663,14.5639,-3.12989,-5.21707,4.10174
-60.0848,-92.996,-43.9363,14.4149,-0.707181,8.54458,-0.570812
-63.2178,-93.8156,-45.9502,13.2656,-2.71144,-0.07523,3.56299
-59.8145,-89.9939,-45.5515,9.63422,-1.42905,5.4195,8.15176
-60.135,-91.0222,-43.7818,19.1413,6.31567,-0.545414,2.91288
-63.1943,-88.8309,-43.6845,12.3048,-2.75652,4.64751,-4.78401
-59.9213,-89.7447,-41.911,15.9926,3.52366,0.875139,0.355289
-61.3108,-90.2871,-40.6004,14.7173,-0.573925,0.982748,-4.18072
-63.2114,-91.8768,-42.0509,15.8515,-4.90576,-0.837353,4.47187
-61.5015,-87.1877,-40.0109,19.2199,-0.980862,5.2091,3.2196
-59.2759,-92.8917,-40.8249,18.773,3.67043,7.80971,-2.6652
-63.2382,-93.2949,-43.9872,12.9453,-0.754454,13.6719,1.23284
-60.5744,-91.7108,-41.8366,19.8184,4.44631,5.31637,1.23762
-60.2183,-88.7132,-40.0803,19.8664,-2.0381,-8.89288,0.607878
-61.4761,-88.5288,-41.6178,14.1636,1.89726,-5.52378,2.88581
-63.0715,-88.5899,-40.36,14.0394,-0.0642432,11.4011,0.395598
-62.3555,-93.6662,-41.9994,12.3024,0.147858,-8.65124,1.72142
-60.9788,-93.7686,-40.224,14.9546,1.03217,2.1795,2.5823
-63.2019,-90.5459,-40.0516,14.5515,-4.10932,-1.11631,-4.67188
-62.0624,-92.1235,-40.4669,19.7511,11.5753,-2.90975,-11.1806
-58.0639,-90.4753,-41.8379,16.5768,4.36867,-1.06888,-3.02779
-63.2038,-94.8954,-40.6996,15.6724,-16.8217,6.5044,-2.67513
-63.2064,-86.349,-40.5864,13.7252,-3.00097,9.19977,-1.4919
-61.7629,-92.1051,-43.3983,14.537,-4.76185,5.824,5.58122
-61.7527,-81.0196,-47.4744,16.1238,-1.38395,-8.92272,7.58392
-59.8978,-81.3503,-47.0051,16.5185,-0.318206,1.10013,-2.0199
-61.6249,-82.2405,-49.026,14.811,-2.40928,-1.24298,-6.26851
-63.2471,-83.2942,-49.0419,12.4143,11.6331,9.34412,-4.39679
-60.3843,-87.6303,-47.9869,14.1303,-2.66029,0.215529,0.25351
-60.9311,-84.304,-49.0266,7.65246,12.9046,-9.71577,-5.90653
-60.4898,-79.4477,-47.2811,11.5097,3.46344,0.354799,-3.42859
-59.7535,-82.7123,-49.0489,11.3737,4.73647,-1.60979,5.21568
-63.2299,-85.2489,-49.0381,13.379,0.694836,-4.25248,4.47045
-63.2617,-81.0597,-45.9572,12.2459,13.7684,-2.8774,2.80243
-60.004,-86.0648,-49.0737,7.8067,-1.58088,-5.08136,3.96906
-63.2604,-83.9396,-45.9413,15.4612,-5.6516,-6.96056,12.1749
-61.7298,-86.2066,-48.2133,10.4144,3.63824,-3.72097,-7.0409
-60.9324,-85.5446,-46.5295,14.2437,12.1373,12.7104,-1.82133
-63.242,-81.1366,-49.0101,14.5869,1.00753,4.12215,4.67239
-62.2385,-84.4254,-47.5475,12.476,-3.02275,10.7917,4.70683
-63.0652,-82.5025,-47.2582,15.534,-3.41247,-5.66829,-5.23511
-63.2572,-86.4418,-47.042,14.9146,0.100728,8.50391,1.95799
-59.3802,-84.4674,-47.0916,12.8178,3.15081,-9.21178,1.46387
-58.4257,-81.0336,-48.3011,16.6632,6.34969,13.95,-2.95341
-60.9032,-86.543,-44.8081,10.8377,6.06858,7.68371,-12.332
-63.193,-86.487,-43.7055,13.5149,3.2152,-1.62833,-4.69664
-63.2108,-84.4006,-44.0088,14.1888,4.21576,-4.38517,-0.0884493
-61.5225,-82.989,-43.8384,13.1209,-3.47916,5.27198,-4.18794
-59.6142,-83.4665,-43.6635,11.8016,2.99734,0.235546,5.81249
-59.5589,-82.3378,-45.3175,14.1894,-4.3121,-4.12993,-2.07303
-59.2918,-86.6148,-46.7813,11.6103,6.55856,-5.74518,-2.3116
-60.8199,-83.0684,-47.3847,11.2156,7.49089,13.3801,-13.814
-61.3349,-83.8379,-45.6227,15.3624,-0.107214,1.64978,1.54434
-62.5425,-85.6654,-45.3906,13.9165,0.37206,-2.46243,8.48571
-63.2572,-82.5025,-44.6173,13.7715,-3.09144,9.33069,-5.12541
-61.4488,-81.8577,-45.6996,10.8073,6.91132,12.3505,5.46832
-59.8037,-84.9068,-45.0211,15.8906,-8.24429,-3.62699,-4.00056
-63.2197,-87.671,-45.2977,12.9461,0.138227,-0.84602,-2.89896
