x,y,z,absv,wx,wy,wz
54.8501,-95.8416,-31.1879,15.5801,4.72869,-8.88894,-7.02321
54.7337,-95.9999,-48.7017,18.2917,15.3812,-55.126,-16.6625
54.8355,-98.85,-37.8006,22.6329,-7.05697,24.4319,13.3369
54.7153,-96.3102,-42.1615,19.8654,-13.8436,9.55162,14.854
54.8272,-94.648,-43.1363,14.7483,-0.416607,-18.2909,-19.5073
54.8259,-99.0376,-49.0082,16.1994,3.72154,10.0342,-33.6957
54.8374,-96.2295,-40.2062,14.8922,9.99313,45.9483,2.14094
54.8336,-99.0935,-45.5578,12.4143,-32.3813,14.2856,22.4935
54.8736,-97.0479,-33.123,21.9626,-21.8432,10.0663,-1.84177
54.7662,-97.7486,-44.108,13.1103,-6.16301,-3.11279,4.78305
54.8368,-97.9235,-41.1244,8.69699,-14.0906,-7.26969,1.31451
54.831,-99.0516,-35.8179,22.8932,3.47676,-0.263603,-41.8276
54.7694,-94.0872,-39.6389,17.925,25.2515,12.0883,13.0072
54.7929,-97.4822,-47.4362,19.0497,-17.4422,21.2732,36.6872
54.77,-92.1712,-39.9009,13.8774,-0.749211,-38.634,-15.5126
56.251,-97.4809,-28.3035,24.9331,5.66868,15.2187,13.9798
54.8571,-94.5921,-27.0998,10.3375,15.7243,14.6431,-20.4492
54.8527,-98.9708,-18.7963,17.7116,1.02653,14.2521,5.08786
55.8841,-96.1405,-26.5135,7.44498,-14.1673,-4.40228,21.6384
54.8355,-96.2085,-28.1789,14.7784,25.0551,11.192,19.5621
54.8685,-99.0865,-25.587,17.1988,-26.3649,8.11021,7.47941
54.8304,-97.2762,-36.7018,19.7094,12.6897,-7.08818,-5.31871
54.8736,-99.0102,-22.0896,20.174,-18.113,-27.1175,-6.33421
54.8272,-94.1787,-36.2681,23.8123,-14.1931,-15.7767,28.2037
54.8946,-94.8057,-32.8374,14.3345,-8.35153,9.14362,29.6739
54.8488,-95.93,-24.8615,23.5272,2.69821,10.0118,9.27248
54.7178,-96.1068,-45.6996,19.4182,-28.2745,10.2478,12.7974
