x,y,z,absv,wx,wy,wz
-43.9153,-94.3568,-47.2175,12.6626,3.45967,-1.32402,-1.42156
-43.942,-93.464,-49.0094,13.3859,-5.24573,-2.02913,-10.1139
-43.9039,-97.3607,-46.0379,13.4202,-3.10158,-1.74211,3.58964
-42.323,-96.3789,-49.0381,13.8991,-4.79212,-4.02774,-7.49336
-40.6519,-95.3411,-49.0476,11.3097,22.7178,2.57,-5.12768
-39.7897,-99.0471,-49.0177,16.226,-5.52731,1.74846,7.06481
-42.957,-96.0483,-47.1793,15.1347,2.39975,0.716397,2.5017
-41.7412,-99.0465,-49.054,13.3343,14.5563,-11.0696,1.83235
-42.2474,-97.8313,-47.6086,9.97933,-0.931138,0.4073,1.82329
-43.9662,-95.3977,-49.0304,14.3822,-2.31683,3.65216,5.92043
-43.949,-97.2444,-48.3634,12.7212,-1.33456,6.21532,-3.4335
-43.7087,-99.0471,-49.0571,15.3128,3.50929,-11.8709,-4.06068
-42.3211,-94.4916,-48.4085,15.4544,1.19744,-6.24069,1.4175
-40.671,-97.3283,-48.9439,12.9522,10.7119,-1.198,3.80035
-42.9246,-93.2427,-45.8726,12.7298,3.03323,-0.245848,-8.63777
-40.5057,-99.0414,-45.2857,12.8635,3.21363,-7.94287,-0.728398
-43.8791,-95.4035,-45.5311,11.1617,-5.96049,11.2707,3.16536
-43.8765,-97.5706,-42.4572,14.156,-1.08604,-5.02899,5.48744
-41.9968,-95.6387,-44.356,21.3441,-5.2481,-5.46895,-3.21943
-41.9091,-97.1108,-45.8103,13.0383,5.43443,-3.13403,-2.0448
-43.9013,-99.0122,-44.9188,16.4085,1.53877,0.20992,-6.09593
-40.3486,-95.944,-45.4949,13.6667,-1.00578,-0.713874,-1.19556
-42.0979,-99.0223,-44.0762,15.9477,-5.64471,-3.22881,4.95989
-41.8118,-94.8337,-46.1664,15.4478,-4.6056,-0.100131,1.67867
-41.3667,-93.7298,-44.5836,15.3779,9.61315,8.0185,3.35808
-43.8867,-95.6286,-43.5535,13.6443,-0.508409,-1.20834,2.74235
-41.0112,-96.253,-47.337,15.1726,-6.63478,7.22468,4.85609
-43.9236,-99.0191,-47.1177,13.1238,0.868195,3.94355,9.75465
-42.2951,-99.0433,-46.0564,15.5969,-1.38276,-2.98729,1.98772
-42.3351,-96.0336,-42.4083,13.04,-6.43167,4.47491,2.30754
-43.0791,-97.3029,-44.2472,16.1005,2.2853,2.84269,-4.70883
-40.2093,-92.6106,-39.8615,13.6928,4.35035,-2.29841,1.35036
-41.4671,-97.0282,-38.9172,15.5009,7.10347,-2.30848,-3.26967
-42.9761,-97.5261,-40.1426,16.0711,-3.33171,-0.384374,4.76896
-41.9943,-94.4662,-41.1644,18.3377,-4.78465,3.03339,-4.78469
-43.9058,-94.1813,-41.6674,13.9997,-5.78639,0.0899609,1.35356
-41.8646,-99.0204,-40.8192,18.8049,-14.2757,8.09254,0.0938091
-41.1835,-96.2492,-40.8001,15.8816,2.70235,1.13583,-1.22389
-43.8714,-99.023,-41.118,12.3946,-2.33713,-1.02845,6.35026
-40.2933,-97.9362,-40.2519,15.5146,-4.70016,-0.916475,6.56974
-40.83,-97.3398,-44.1735,12.8936,1.62201,1.46947,-0.30182
-42.4928,-93.8506,-42.9895,12.2604,1.69133,-4.0236,-1.9098
-40.8014,-94.856,-42.8604,14.3545,4.51974,-4.14248,-1.1524
-41.6598,-97.9019,-42.4598,5.33536,1.48974,-0.412094,3.18428
-43.8823,-96.082,-41.1505,13.392,2.65738,4.8113,2.71783
-39.2326,-93.2427,-41.4697,11.8247,0.388538,5.35532,-2.02715
-42.6645,-95.5841,-39.6663,13.7877,0.775053,5.31352,8.2834
-43.916,-91.4819,-49.0279,15.0475,4.42927,3.14072,1.17041
-40.4949,-93.3864,-49.0431,19.1789,-13.9414,-1.21784,-0.119483
-43.9732,-89.4998,-49.0133,14.0518,-9.82287,-3.44863,7.21804
-43.916,-90.4111,-47.2493,17.6286,5.3009,10.8433,1.91274
-42.2626,-92.5464,-49.0336,16.868,13.8901,5.81105,4.05487
-42.0172,-87.5108,-47.3765,13.5917,6.42814,-9.40371,-0.263769
-43.9363,-92.4071,-47.3148,13.1494,-9.80545,7.26102,-7.88842
-42.0095,-89.4839,-47.3924,12.8966,0.220931,-5.28404,0.409389
-42.7147,-89.8534,-45.5737,14.0435,1.51568,1.30429,-5.73628
-40.6602,-91.452,-48.8772,17.5253,-3.84915,0.6986,5.39433
-42.2963,-90.4397,-49.087,16.0165,-2.89724,5.17298,-2.49608
-42.3504,-88.4792,-49.0654,11.447,1.53784,3.1687,-5.12078
