x,y,z,absv,wx,wy,wz
-2.42338,-95.7309,-41.7755,14.0197,-2.35334,8.1335,-3.19299
-2.39794,-95.4175,-49.0285,13.5016,-6.90664,-3.14062,11.1039
-2.5035,-97.4491,-42.95,15.5458,-8.06524,0.00919466,2.09014
-1.91912,-97.4078,-45.0173,17.8045,0.0903967,15.1779,13.2897
-2.49269,-96.3052,-46.6128,12.5914,4.16667,-0.237386,7.63107
-0.978641,-99.0096,-49.0845,7.20071,-10.3408,0.148461,-11.6304
-1.29658,-96.0667,-43.4346,14.5911,5.70961,3.12275,5.33646
-2.51559,-99.063,-47.9685,14.3203,8.21689,8.50368,7.80155
-1.20501,-97.4161,-41.4945,19.1803,-2.16573,-0.355035,-1.56861
-2.43165,-99.0242,-46.0284,13.8551,-4.03024,-6.28474,-17.7924
-2.48316,-99.0503,-44.0552,13.958,5.25329,-7.43903,-6.36943
-2.42211,-99.0567,-41.8607,18.4771,1.06101,-2.78403,-12.3754
-2.51178,-95.5459,-44.831,16.8721,-5.73651,1.18838,-14.4356
-2.43165,-97.3957,-49.0215,13.827,-1.96991,2.14839,-4.25669
-2.5194,-93.3037,-45.1578,16.0727,-3.6512,19.7272,11.8354
-0.246722,-97.4771,-39.7763,16.4471,-6.34291,1.81823,-5.71606
-2.44628,-94.3943,-40.2723,19.0758,-3.58579,3.22135,-1.69783
-2.42656,-98.7521,-35.1731,15.0957,4.53513,-4.16985,-4.08087
0.0648635,-96.0285,-38.4702,14.8771,-0.00876181,-1.59037,-2.49044
-1.00344,-95.7411,-40.3791,17.2739,9.90726,-0.0312921,-3.63442
-2.44882,-98.9053,-37.5971,18.6142,1.76576,1.57102,1.89496
-0.170421,-95.2254,-42.0973,14.4488,-8.66309,-5.37738,4.6844
-0.890247,-99.0052,-36.3819,16.4979,-1.88734,5.17099,0.748486
-1.91467,-94.2099,-43.5433,13.9801,0.280851,-4.46947,-12.335
-1.33855,-93.6916,-41.7336,11.6408,-9.17999,7.19349,-6.15063
-2.44691,-95.5847,-38.6876,17.5969,-0.101731,-4.72332,-3.87432
-1.34618,-97.6374,-47.3625,17.7385,7.2348,5.97481,1.18804
-2.445,-99.0287,-39.8939,18.7756,0.579078,10.9315,7.06198
-0.857822,-99.0452,-38.7347,15.3594,0.526184,2.07957,-0.675875
-1.47845,-97.2507,-38.2413,15.7023,0.0551563,3.20639,6.13569
-2.42593,-97.0682,-39.9836,16.1525,4.90882,4.05962,2.08333
-0.349101,-97.0625,-33.2959,20.6005,4.02171,7.62114,3.44574
-0.439403,-99.0185,-32.9214,16.0502,-9.11166,-1.91057,-13.2409
-2.41066,-99.0128,-33.2082,14.8539,-0.612013,-1.54391,3.5832
-1.32011,-93.8977,-35.7536,19.2013,-1.69713,3.0154,-1.89163
-2.40685,-97.2552,-36.4868,18.527,-1.1213,-6.38584,0.951769
0.272162,-99.0096,-34.7763,21.239,0.190768,4.20737,6.82384
