x,y,z,absv,wx,wy,wz
-10.7211,-94.3441,-47.3122,14.4801,0.743697,-2.3352,1.98191
-10.7453,-93.1511,-49.0317,10.8618,1.14056,18.1756,-6.47878
-10.7141,-97.5566,-43.0359,15.2864,0.391138,-13.028,4.47734
-9.15557,-96.1144,-49.04,14.1611,-6.66366,-0.24599,14.8606
-8.54448,-95.1326,-47.4305,14.3229,6.25062,4.90046,-11.4266
-9.31836,-99.0497,-49.0279,26.4556,7.95816,-9.00386,18.6089
-10.7548,-96.6015,-44.7248,14.3735,-7.99006,2.27374,7.04208
-10.669,-97.5858,-49.0209,17.5889,13.724,-15.114,-17.741
-9.0551,-97.3391,-45.3817,16.2723,-3.65764,3.41383,10.804
-10.7625,-95.1001,-49.0851,10.0315,-1.04662,6.62658,11.6263
-10.6728,-96.3026,-47.5157,17.5753,-9.51232,-9.59599,12.7535
-10.7402,-99.0776,-47.7141,15.4962,-19.3188,-3.4155,-1.39841
-9.04556,-94.1501,-49.0489,14.4673,-20.8809,-11.6464,-3.07398
-8.86878,-97.1598,-47.3479,14.1791,2.55283,6.25916,14.0007
-10.6048,-93.0666,-43.1815,22.3231,6.22125,25.4071,8.5557
-9.49895,-99.0592,-43.0594,18.3182,8.99822,-1.9933,-0.872957
-10.6913,-95.6445,-42.5106,13.5948,0.366694,-1.15369,10.3944
-10.6766,-99.0223,-39.5843,15.5607,7.91398,3.46133,4.523
-9.47415,-95.5624,-40.9648,16.4051,-4.79493,-0.102717,-4.97492
-9.01122,-97.1007,-42.1692,13.1058,-7.84097,-7.09767,-3.15562
-10.7351,-99.0312,-41.5562,14.9344,-14.0642,8.28524,-3.42628
-9.10279,-96.0572,-43.8371,10.9302,-10.2863,-2.98043,-9.55426
-8.81537,-99.0249,-41.1861,12.1606,-8.40562,-8.29769,-6.7757
-10.6817,-94.7129,-44.2333,12.5245,4.3343,-3.70667,-5.16722
-10.1825,-93.6942,-41.3145,14.5958,-2.11783,4.41779,-0.373947
-10.6874,-96.5983,-39.197,16.1447,-6.08208,-5.99681,12.6867
-9.81244,-95.4486,-45.9686,13.5219,3.43004,-1.31325,-13.771
-10.7218,-97.8078,-46.2573,16.1234,17.4411,-2.77222,-5.53579
-10.6359,-99.0147,-44.6867,22.3141,-2.23832,-16.678,-8.50243
-9.10215,-95.9084,-38.24,17.7534,8.85072,-0.963552,15.1278
-10.6887,-97.1096,-41.1129,13.6655,7.43645,21.6765,-4.02982
-8.03258,-92.175,-35.7072,15.6248,0.103092,-2.64042,5.85471
-8.96035,-97.2933,-34.4889,13.9427,-1.4305,-1.75481,4.32981
-10.6919,-97.5814,-35.4249,13.1086,3.14008,9.11702,3.78614
-8.9311,-94.2271,-36.834,13.6494,7.28914,7.35941,-6.89193
-10.6652,-94.5749,-37.7446,14.9686,4.95668,-6.62347,4.34469
-9.31582,-99.0255,-35.4033,19.0225,-0.321451,6.28015,3.17041
-9.04747,-97.3156,-36.4728,13.3302,-4.57947,-6.05743,-2.66328
-10.6792,-99.016,-36.8487,16.7922,5.69059,2.14743,5.93259
-7.47999,-98.6065,-34.7699,12.8127,1.06601,1.07867,1.92491
-8.99659,-97.3378,-40.1,15.0199,4.49614,-9.80364,6.72584
-8.97688,-94.0948,-39.0113,15.8124,-8.21291,1.88138,-7.92027
-7.89332,-95.7112,-39.8049,15.0332,-10.7415,0.887502,5.92852
-9.69544,-97.9935,-38.2234,17.1812,-3.09642,-5.64324,-4.21144
-10.6855,-96.4896,-37.2009,14.6329,0.432475,-5.07559,3.78792
-6.70484,-92.2685,-37.1857,15.3535,0.847951,-0.14655,1.22217
-9.34443,-95.6235,-35.4764,14.3269,2.51306,3.09899,0.598079
-10.7224,-91.1137,-49.0463,21.6715,11.3968,13.246,-7.69103
-9.15493,-93.5111,-46.5307,13.5116,-15.0355,-4.48322,-2.77999
-10.751,-89.2385,-47.9876,15.3161,3.51417,-1.17648,12.5536
-10.7555,-90.5656,-46.5854,15.5568,7.03747,-5.78644,-5.32291
-9.09198,-92.2005,-48.8651,13.7416,-10.7964,-4.67208,7.84517
-9.02712,-86.7007,-46.6929,10.0056,-0.734967,-6.48113,-20.8717
-10.6741,-92.4059,-47.1857,15.5365,1.30533,10.7651,3.90127
-9.44554,-89.1355,-46.5117,18.1322,-9.84754,-8.2891,16.0487
-10.0439,-89.4216,-43.24,7.19534,5.35137,5.84201,10.1696
-9.04175,-90.9077,-45.7346,20.3334,10.7166,11.0151,7.29806
-9.2802,-90.5351,-47.875,18.4,-5.93859,-1.08816,-12.3606
-10.6957,-87.5674,-48.9846,14.0387,-7.28289,-11.9469,9.96321
-8.5591,-89.4439,-44.5105,14.976,13.7041,-10.5471,-14.2945
-10.6684,-85.5796,-49.0228,5.26476,12.1666,22.7022,-3.12403
-10.6607,-93.0914,-45.3454,12.7712,-0.864834,1.08195,-6.28655
-9.19881,-89.0293,-49.0927,12.3891,-9.07896,-1.43789,13.5142
-10.7243,-91.211,-44.7401,15.5079,-8.59712,-12.6497,33.0614
-9.21916,-92.1674,-42.077,15.4161,-13.8339,-7.12566,-3.34406
-10.7071,-89.6874,-41.4144,15.0663,-4.91522,-3.93747,-7.3647
-10.0973,-86.913,-39.6377,11.2142,0.145523,23.7365,-16.9785
-10.7091,-87.6876,-46.6859,10.8073,-9.74022,5.91645,4.52799
-10.7148,-91.8539,-40.8376,13.2814,0.114777,-1.46402,-0.00289366
-10.7339,-91.1614,-42.7491,14.2242,-7.49991,19.038,-3.23446
-10.6874,-88.8506,-39.1506,14.8554,-8.60006,21.7898,-5.58049
-10.6728,-90.3984,-33.4117,11.8412,12.0814,-11.4863,3.12247
-10.6734,-90.949,-38.2145,12.1978,-6.31838,14.3283,-3.82518
-9.00422,-92.4027,-40.0427,11.5704,3.97198,1.06881,8.89737
-9.36033,-91.1099,-36.724,7.482,6.81247,1.91219,-3.6784
-8.56164,-92.5553,-37.8381,13.0207,1.31311,-2.73983,2.72875
-10.7129,-94.6894,-39.7127,14.1961,5.52327,-0.303671,-1.9423
-9.30627,-88.6433,-40.5451,17.7923,9.23147,0.766392,3.61655
-9.73932,-90.4441,-39.8825,13.6614,-3.6916,-7.58992,3.78701
-10.7148,-89.2735,-45.0593,12.7279,8.05526,1.70954,-16.3077
-8.98324,-89.4248,-35.465,12.3158,0.809038,-3.44517,-1.01975
-5.51827,-86.4984,-34.644,10.0332,-0.273731,2.38794,-3.13608
-10.6779,-90.4391,-35.4103,15.2043,-5.02504,1.16271,0.0229345
-10.6652,-85.5643,-33.7226,13.9024,-0.00144569,-7.84311,5.53084
-8.95336,-93.7419,-34.8914,14.4407,-2.2298,-9.17771,-0.781621
-10.6779,-92.8027,-39.0705,14.7701,-10.8069,3.53059,-5.38962
-9.0888,-91.0947,-34.3922,15.5446,-2.18028,2.56853,-1.36855
-8.90948,-87.5159,-34.8787,15.0944,7.72925,-8.67469,7.8101
-10.6798,-88.5047,-36.1123,17.3593,-7.69468,7.23186,-0.523238
-8.62778,-89.0814,-33.542,20.2574,3.43043,3.88819,8.74471
-10.6747,-94.1851,-35.8058,13.7393,-1.88193,-1.15844,3.75443
-7.71654,-94.4808,-33.4861,21.3365,-0.754513,9.91901,-2.31452
-10.5876,-92.3798,-34.9155,11.1113,-11.9423,11.3172,-0.797217
-7.06603,-87.582,-33.9751,17.186,-2.82589,-5.12187,-2.12241
-7.07684,-89.3193,-34.9403,13.2121,2.88543,-3.04695,-3.00784
-10.6626,-96.115,-34.073,16.0755,4.06917,4.88347,5.75098
-10.6372,-88.2662,-34.1359,17.039,11.6349,-5.87791,4.62557
-10.6378,-92.6062,-37.0846,12.7703,-7.44628,-5.16535,-4.11918
-10.683,-79.2429,-46.5924,13.9471,-3.33777,-0.534266,-1.07876
-9.47161,-81.0177,-44.9397,13.2052,3.28823,1.35891,5.26042
-9.91101,-82.1858,-49.0393,12.5548,6.12529,-17.0659,-9.11203
-10.7326,-82.0663,-46.5409,12.9295,1.21396,-11.7124,15.4067
-9.00168,-86.6078,-49.04,14.3955,13.913,-19.1261,0.99826
-10.1431,-83.9504,-46.4239,11.4828,6.17918,5.59409,-28.0423
-9.11297,-79.1507,-45.3753,16.0861,-0.595949,-7.18617,6.48603
-7.92003,-81.8189,-49.0501,15.9271,-5.43668,1.73468,-11.1799
-10.7275,-83.7679,-48.2775,13.0326,-12.5892,-11.8708,20.8172
-10.7281,-79.8585,-44.026,12.7352,-6.82088,2.3073,-4.96887
-8.25006,-84.2347,-46.0074,11.827,-3.92237,12.9581,17.0373
-10.6741,-83.1244,-42.7326,13.6475,13.156,3.17044,-7.03001
-9.00677,-84.9914,-47.6823,11.3733,10.4271,-4.4482,20.7798
-8.98833,-85.7017,-44.9849,21.018,12.3831,6.82543,-14.6745
-10.7625,-80.7684,-47.9939,16.9989,6.57112,-4.00472,-2.34671
-10.6868,-84.3949,-44.5887,18.4664,10.1457,-7.83145,6.60917
-10.7453,-82.4122,-44.5633,13.876,-21.9701,-24.6136,-3.11743
-10.711,-85.7468,-47.0464,19.2774,15.4958,9.12725,-5.62234
-9.02012,-84.2417,-42.6232,21.6593,4.06269,-3.52481,2.59212
-9.22551,-80.5643,-46.8353,13.9115,3.73021,0.88151,7.22613
-10.6938,-85.654,-41.0678,15.6199,-5.80458,-6.61063,6.687
-10.6963,-85.0715,-39.1086,17.5889,11.1426,2.34085,9.90106
-10.6486,-82.8662,-37.1189,22.1539,-1.79785,-10.7129,6.48618
-9.23251,-81.9976,-38.2406,19.6847,15.8605,4.02699,8.72292
-9.06273,-81.8253,-40.2023,15.1654,-1.8887,7.31609,-6.40732
-9.84424,-81.218,-42.8642,18.6042,-4.78677,3.62266,-0.208876
-8.68501,-86.1741,-42.964,20.0887,14.2733,-5.16322,-4.17307
-9.03602,-83.3056,-44.4673,21.2551,10.6954,8.47083,7.65618
-10.3021,-83.7215,-40.8885,14.9413,-8.97744,2.94158,-2.98276
