x,y,z,absv,wx,wy,wz
-69.4743,-95.1326,-47.3224,16.4387,1.26787,11.4301,-2.32774
-69.5163,-93.3514,-49.0228,14.4302,-1.29403,-2.7805,-2.35223
-69.4292,-97.1223,-47.2652,14.7028,6.48705,4.34935,1.80944
-67.7956,-97.1083,-49.0298,18.2938,-0.211579,-2.17883,0.0150943
-66.3394,-95.1434,-49.0381,14.119,8.12121,-6.49827,2.71084
-64.4718,-99.0459,-49.033,13.1417,9.46472,7.92717,-1.34889
-67.6621,-95.8721,-47.4776,13.9204,-8.2572,0.317364,-8.13134
-66.4227,-99.035,-49.0451,16.371,-2.55502,-4.28781,-1.9335
-66.8551,-97.6666,-47.3936,15.3218,1.22135,1.72214,3.7389
-69.5074,-96.1557,-49.0183,12.4533,2.21699,-7.12343,4.93255
-69.4883,-98.1168,-49.0495,15.6497,-7.88769,-2.51161,-5.42869
-68.1034,-99.0509,-48.0683,15.6138,7.75279,0.108124,4.56373
-68.1898,-94.7351,-49.0222,14.0973,-1.42759,-2.45119,0.0593376
-65.8415,-97.1744,-49.0342,19.1803,4.07913,-0.4317,1.48073
-68.111,-93.7152,-47.325,15.0966,1.92494,-1.91599,1.63691
-65.7963,-98.6796,-45.388,14.4153,3.73884,6.56541,-1.0789
-67.9285,-95.0118,-45.7162,15.9237,10.2595,4.89515,2.00759
-69.4445,-97.2812,-43.6374,12.8846,-0.483092,5.79825,-1.53838
-66.2256,-95.1536,-44.5722,14.4282,1.5721,-5.37158,-9.68272
-66.4602,-96.7706,-45.6805,17.6569,6.90111,0.543586,1.22693
-69.4432,-99.0096,-44.6714,14.605,0.481478,3.20049,-8.62311
-64.6403,-95.6788,-45.7867,13.2033,-5.50164,-2.7884,-7.00581
-67.5171,-99.0395,-44.2085,11.1105,-8.64147,-5.88223,-1.69361
-66.3909,-94.3549,-46.7031,13.0201,1.56822,1.3625,-4.07948
-65.0772,-93.7692,-45.3721,14.6597,-8.18046,3.22446,3.77118
-69.4947,-95.9987,-45.1286,13.6162,-5.67909,1.64997,-8.39045
-65.6959,-96.0489,-47.4025,13.2473,5.02636,-4.28757,9.57721
-69.4712,-99.0134,-46.6541,17.0081,-7.84713,1.50318,-12.5838
-67.5457,-99.0586,-46.188,13.8174,0.123484,0.776947,3.64563
-67.8795,-96.0788,-43.9554,15.0418,0.283125,3.59447,-4.80774
-68.2566,-97.5165,-45.2424,13.8937,1.43537,0.440517,3.03506
-66.4806,-95.2954,-40.5934,12.5908,1.82431,4.08112,1.92308
