x,y,z,absv,wx,wy,wz
-48.1516,-94.5361,-47.2588,12.1435,7.29345,-11.5731,-4.80724
-48.151,-93.6147,-49.0133,15.3488,-7.80511,8.32971,-4.99813
-48.1249,-97.3671,-46.1174,13.8759,-1.14214,-4.85851,-6.85059
-46.4443,-96.4826,-49.0362,14.0167,-5.60167,2.815,-8.844
-44.9168,-95.242,-49.0489,15.9968,-18.9128,0.316584,1.83977
-43.7506,-99.0414,-49.0241,13.3592,-1.36609,-2.45316,1.77304
-47.0236,-96.122,-47.1813,17.5461,-4.55082,-3.9348,12.4405
-45.7155,-99.049,-49.0559,7.65753,-19.2578,14.3199,-11.6739
-46.3864,-97.9292,-47.6035,10.4691,12.209,-5.94044,3.33349
-48.151,-95.5624,-49.04,15.2869,-2.89205,18.3716,0.0833371
-48.1554,-97.3436,-48.2305,12.4217,3.79705,14.6904,-6.95244
-47.6938,-99.0427,-49.0603,7.35286,-2.74961,-5.28459,11.6881
-46.3877,-94.3701,-48.0912,12.8598,-12.7867,-7.89838,-8.66109
-44.7045,-97.348,-49.0082,13.5567,2.74194,-0.240358,9.43005
-47.1571,-93.4971,-45.8974,9.22935,-11.5038,8.65095,0.0714636
-44.7235,-99.0096,-45.3435,16.3213,3.17642,-4.33174,-0.758832
-47.7116,-95.3946,-45.4911,16.68,1.27745,-2.00456,0.5879
-48.0766,-97.5312,-42.5691,16.4773,3.12283,-16.0249,1.72469
-46.0297,-95.7081,-44.4526,20.1092,-4.61486,-1.39808,0.0155763
-45.9413,-97.1795,-45.8357,11.2002,-9.04543,8.92672,1.08134
-48.1097,-99.0102,-44.7134,16.2059,-1.07206,4.4746,6.47703
-44.3573,-96.005,-45.5655,14.3273,25.4307,-20.7173,12.3978
-46.2306,-99.0102,-44.0298,12.3524,-11.4452,-7.73172,-0.323086
-45.8255,-94.8789,-46.2351,11.9779,2.88313,10.5859,-7.92618
-45.2164,-93.8983,-44.6485,13.4737,3.01843,3.89327,-12.897
-48.1224,-95.7411,-43.4473,14.7434,-0.699723,3.37995,-9.92501
-45.0822,-96.3236,-47.3822,15.4601,-19.5622,8.67911,-13.8088
-48.144,-99.0287,-47.1609,13.8421,9.84054,6.86188,4.03847
-46.5791,-99.042,-45.9801,13.4585,-3.17524,-7.18846,-7.90449
-46.3953,-95.9567,-42.5024,17.5801,6.36491,-10.2419,0.446021
-47.2442,-97.2654,-44.3547,13.8607,11.8606,-8.87304,1.9372
-43.9986,-92.5114,-40.0389,7.68905,-4.35444,5.57424,-4.05219
-45.6704,-97.0224,-39.2892,16.4734,8.3546,4.93107,6.16008
-47.0681,-97.348,-40.7994,16.813,-6.29337,-6.9942,-7.27666
-45.8529,-94.2627,-41.326,13.8021,-7.37699,5.4042,3.57791
-48.1491,-93.9816,-42.1431,16.6302,5.92555,2.12612,-1.33907
-46.111,-99.0535,-40.9775,18.44,0.580479,9.68605,10.0138
-45.093,-96.1068,-41.0087,11.877,8.4898,1.98851,1.26202
-48.1001,-99.0077,-41.242,14.7642,-10.0283,4.12489,1.9047
-44.5016,-97.9515,-40.6144,17.0997,-4.49258,-0.789051,-0.182192
-44.8742,-97.313,-44.1684,13.8406,-0.824854,-2.65497,0.342924
-46.5098,-94.119,-43.2057,15.049,-1.68125,5.26282,-1.12935
-44.7038,-94.8267,-42.9144,16.7216,5.68819,-0.435831,-0.0933115
-45.7937,-97.8313,-42.4909,17.9007,8.11726,-8.21362,3.95318
