x,y,z,absv,wx,wy,wz
-74.6766,-95.1536,-47.1361,14.1518,-0.848784,-1.92843,2.69088
-74.7014,-93.7298,-49.0107,11.8349,-8.26047,-3.27322,4.90176
-74.7001,-97.128,-47.138,13.0266,-1.77377,-1.64578,3.36414
-72.987,-96.6772,-49.0209,13.8684,-6.65518,7.53235,2.56594
-71.4526,-95.4105,-49.052,14.003,-3.41194,-2.22761,2.06956
-69.4457,-99.028,-49.0228,13.3727,-11.1266,-2.67802,-1.52733
-72.9889,-96.2104,-47.0878,13.2282,-1.95269,-0.110554,2.74555
-71.3998,-99.0904,-49.0451,15.7987,-1.4823,-0.845046,3.87841
-72.2208,-97.9311,-47.6938,14.1766,2.73697,-9.69277,-7.97636
-74.709,-95.7112,-49.0444,12.7123,2.20046,-5.81806,-2.00302
-74.7033,-97.6704,-49.0349,13.4193,0.466262,6.58198,7.22581
-73.3425,-99.0446,-49.0241,13.7362,-2.99317,1.44015,-5.81243
-73.1549,-94.7568,-48.3875,13.7779,-7.22607,5.42648,-2.30099
-70.7722,-97.2692,-49.0635,15.2297,-5.3448,1.10717,-3.90398
-73.3291,-93.7889,-46.6821,14.3049,-4.51278,-6.77443,2.62689
-71.3426,-99.0395,-45.4981,13.2841,2.3741,-0.437496,-1.18739
-73.338,-95.3049,-45.3823,16.0304,0.295332,-0.352882,-1.92465
-74.3726,-97.8726,-43.5548,16.0643,-8.94136,5.58534,0.0849728
-71.5543,-95.5828,-44.5741,11.7741,3.58378,1.54031,2.52589
-71.8659,-97.1592,-45.741,12.9964,2.66823,-3.38121,-0.910596
-74.6925,-99.021,-45.1534,14.7602,-0.0123333,-5.26659,-2.57092
-70.0009,-95.6655,-45.8745,14.0966,4.20957,1.99323,-1.901
-72.9183,-99.0268,-44.3,14.0409,-3.56469,10.086,4.22
-71.7337,-94.8413,-46.4029,14.0992,-1.05838,4.11863,0.690306
-70.3557,-93.761,-45.5209,15.8958,-3.16149,-1.41432,0.433922
-74.6956,-96.0037,-44.1417,14.3466,8.02076,0.401512,-7.16944
-71.0603,-96.3688,-47.3657,12.5838,2.701,-2.85951,-0.326158
-74.6817,-99.0433,-47.5806,13.4848,11.3694,-7.74801,-6.7478
-73.1333,-99.0242,-46.3444,13.8099,-7.18537,6.09044,14.5926
-72.926,-96.3713,-43.3843,12.0632,-1.80624,-7.06178,3.49403
-73.8111,-97.2685,-45.3817,12.7727,18.6437,0.652026,-1.68631
-70.2641,-93.1314,-41.2191,13.1657,6.34621,1.04764,1.21213
