x,y,z,absv,wx,wy,wz
21.0868,-94.2328,-47.2773,16.1834,0.937851,-6.79309,8.66092
21.0328,-93.3756,-49.04,12.1826,4.83403,-13.5969,-4.30054
21.0296,-96.8342,-41.3896,14.4721,11.2022,-1.04234,-2.10849
22.6899,-96.3516,-49.0222,14.1078,-0.968639,5.79058,-2.36345
22.5494,-95.3214,-46.6261,16.89,2.94666,0.611614,-27.4291
21.0715,-99.1298,-49.0406,16.5901,-6.38027,-19.3603,-7.60483
21.1262,-95.3354,-43.303,7.99449,-6.46948,0.142245,9.34105
21.0398,-97.2348,-49.0768,15.6843,5.45772,5.35386,6.6991
22.6346,-96.3389,-44.1436,10.6938,-7.61562,12.4704,-1.66942
21.0944,-95.2776,-49.0629,11.6011,0.108268,-8.91763,0.896059
21.0614,-96.2225,-47.3924,11.2127,-6.06282,10.3237,4.81041
21.0499,-98.1702,-47.3402,14.0611,-4.10447,-21.0048,7.85168
22.7547,-94.4051,-48.3144,20.1306,-11.7112,19.1137,2.76789
22.7369,-97.1986,-46.9809,10.1325,5.68787,-5.04323,-0.916452
21.0874,-92.8198,-40.3473,15.0065,-2.56988,-13.2345,-7.49178
21.0893,-98.7139,-41.9917,13.1542,13.4402,-5.01113,11.6366
21.0792,-95.7481,-39.747,16.3019,16.7367,-1.10831,-7.84788
21.097,-99.028,-37.5424,18.3031,0.454058,13.6456,-7.97516
21.1313,-95.6642,-37.5647,16.919,3.62488,-4.49692,-1.98327
22.4444,-97.1827,-40.1279,15.0682,-6.1337,7.1265,8.44998
21.0595,-99.0395,-39.6409,13.491,-7.39854,-20.3296,-10.6211
22.1608,-95.2852,-41.5384,15.0837,0.851139,13.4107,0.792995
22.7236,-99.0509,-38.6336,10.9122,1.8905,13.2695,-4.95117
21.0614,-93.7991,-42.0471,16.0574,-18.1959,4.14925,-1.20328
21.104,-93.7966,-38.4002,16.0877,-13.194,22.1517,-18.3071
21.0995,-96.2295,-35.3772,15.0836,-13.6512,-2.10773,5.83286
21.1141,-95.1707,-45.2901,7.33565,9.18272,-11.1958,8.28728
21.0499,-97.0892,-45.6456,14.2465,5.42203,7.65622,-6.46178
21.0175,-97.2844,-43.6838,13.9146,-14.0748,-26.928,12.9332
22.6409,-95.8848,-34.2014,15.6098,2.45912,0.883842,1.98902
21.1161,-97.3512,-38.6177,21.1509,10.5578,2.60041,-1.19238
22.3834,-93.1518,-31.3151,14.4273,1.01006,4.56862,0.95228
22.6581,-97.6615,-30.2118,19.4892,-7.59228,-10.5398,2.3724
21.1167,-97.5541,-31.4868,13.4171,2.03919,5.21656,-8.31602
22.6104,-94.5132,-32.7789,14.9022,-0.702136,6.14806,-4.92835
21.1103,-94.6487,-34.1722,14.567,6.13932,-14.9796,5.76052
22.721,-99.0109,-31.6566,11.2795,16.6595,6.82382,-2.14286
22.7287,-97.4599,-33.006,16.2242,2.84748,-3.94422,-6.7135
21.104,-99.0382,-32.791,11.4139,7.94925,-6.81415,9.80646
24.5321,-99.0166,-30.2723,19.7455,0.515222,-14.0548,-4.11409
22.5977,-97.4472,-37.3326,24.7747,1.90763,-17.6422,10.2317
22.7528,-94.2042,-35.2093,19.0751,4.70456,-6.21908,-4.64247
