x,y,z,absv,wx,wy,wz
-95.1739,-95.0474,-47.2315,15.1996,-2.13046,-4.12384,-5.34553
-95.1408,-93.5346,-49.0139,14.8968,3.94638,3.50746,3.91599
-95.1606,-97.0135,-47.3122,14.0995,0.551741,0.214494,1.09963
-93.3266,-97.1477,-49.0349,15.291,10.2463,4.3241,3.46391
-91.5951,-95.116,-49.0139,15.4543,1.97843,-9.49974,-3.27226
-89.7669,-99.0274,-49.0279,13.8664,-1.50117,1.40296,5.62449
-93.3489,-96.1729,-47.3231,12.7426,0.639795,-2.80328,-8.51953
-91.7363,-99.035,-49.0495,16.1574,-1.09962,-5.44835,-7.4066
-92.4154,-97.9432,-47.4496,14.6697,-8.76468,4.2191,-5.15903
-95.1497,-95.9211,-49.0152,12.8524,1.45651,4.4555,7.78564
-95.1682,-97.914,-49.0495,14.3383,4.60144,4.26314,-0.515674
-93.6344,-99.0401,-48.5719,12.7145,-0.065099,-4.83678,-0.150865
-93.5479,-94.751,-49.0101,13.161,1.02341,-1.78569,-1.65495
-91.171,-97.1407,-49.0349,15.7946,-7.60449,-0.209259,6.62559
-93.768,-93.6859,-47.3288,12.5624,-0.881137,3.18222,3.66153
-91.6784,-98.892,-45.5794,14.2107,-4.61317,3.57176,-5.81503
-93.6707,-94.9545,-45.8058,12.3948,2.69539,0.0772375,8.25511
-95.158,-97.5114,-43.8295,12.447,6.68248,0.119656,0.22556
-91.8189,-95.186,-45.0854,14.3017,-3.72261,-2.69108,-6.32036
-92.3175,-97.0116,-45.6964,14.226,-4.08058,0.409324,4.52024
-95.1567,-99.021,-45.1171,14.3874,0.489748,5.77313,5.404
-90.0385,-95.5484,-45.9025,13.4871,-9.40209,-5.87028,9.84706
-93.3502,-98.6929,-44.307,14.5777,0.936369,-2.39465,1.05182
-92.1045,-94.6277,-47.1386,13.1813,-0.332659,2.85928,-4.12157
-90.8028,-93.7075,-45.9508,14.2798,-4.63563,0.488303,7.67367
-95.1663,-95.7602,-44.7897,15.2143,-5.54346,-0.788345,0.36447
-91.2555,-96.3681,-47.2258,14.788,5.8197,5.88788,3.41779
-95.1745,-99.0096,-47.3491,16.1659,-5.98158,5.39071,-6.42085
-93.5327,-99.042,-46.2509,16.339,2.92068,7.48426,-2.06326
-93.3196,-96.1246,-44.1792,13.0495,-8.41791,5.93053,2.75246
